visit_id	revisit_interval	revisit_intention
v139		0
v226		0
v376	105.98	1
v377		0
v527		0
v539		0
v584		0
v647		0
v856	145.98	1
v857		0
v900		0
v901	11.75	1
v902		0
v946		0
v1004		0
v1159		0
v1239	15.15	1
v1240		0
v1289	76.16	1
v1290	41.9	1
v1291		0
v1294		0
v1454		0
v1533		0
v1556		0
v1583	13.66	1
v1584		0
v1645		0
v1811		0
v1986		0
v1989		0
v2081	70.91	1
v2082	41.92	1
v2083		0
v2152		0
v2255		0
v2394		0
v2461		0
v2638	44.84	1
v2639		0
v2643	129.83	1
v2644		0
v2791		0
v2814		0
v2993		0
v3020	23.15	1
v3021		0
v3111		0
v3198		0
v3248		0
v3289		0
v3547		0
v3684	21.0	1
v3685	20.95	1
v3686	17.05	1
v3687	24.03	1
v3688		0
v3693	44.73	1
v3694	2.02	1
v3695	6.04	1
v3696		0
v3716		0
v3853	74.23	1
v3854		0
v3911		0
v3957		0
v4000	6.87	1
v4001	1.92	1
v4002	8.09	1
v4003	3.86	1
v4004	6.76	1
v4005	3.12	1
v4006	7.0	1
v4007	1.94	1
v4008	1.83	1
v4009	1.28	1
v4010	2.83	1
v4011	1.88	1
v4012	1.32	1
v4013	5.9	1
v4014	4.89	1
v4015	7.07	1
v4016	13.09	1
v4017	2.83	1
v4018	28.03	1
v4019	12.15	1
v4020	1.83	1
v4021	6.97	1
v4022	13.97	1
v4023		0
v4037		0
v4045	80.88	1
v4046		0
v4125		0
v4137		0
v4144		0
v4151		0
v4189		0
v4350		0
v4440	40.78	1
v4441		0
v4501		0
v4508		0
v4519		0
v4536	55.02	1
v4537		0
v4575		0
v4581	61.95	1
v4582	20.93	1
v4583	41.94	1
v4584	16.12	1
v4585	7.89	1
v4586		0
v4679	8.13	1
v4680		0
v4873		0
v4990	12.03	1
v4991	71.0	1
v4992	39.1	1
v4993		0
v5115		0
v5258		0
v5278		0
v5338	6.96	1
v5339		0
v5362		0
v5420		0
v5829	7.96	1
v5830	111.94	1
v5831		0
v6005		0
v6011		0
v6034	2.88	1
v6035		0
v6130		0
v6225		0
v6303		0
