visit_id	wifi_id	date	indices
v139	144	17222	379593;379622
v226	234	17206	267132;267661;267701
v376	391	17204	253161;253165;253170;253173
v377	391	17310	974029;974037
v527	554	17283	789201;789203
v539	566	17236	481594;481597
v584	623	17302	929560;929561;929563;929566;929568;929571;929574;929575;929576
v647	696	17217	347085;347088;347100;347101;347102;347107;347115;347146;347162;347176;347179;347180;347181;347182;347190;347194;347197;347201
v856	954	17188	147467;147477;147480
v857	954	17334	1127326;1127358;1127406;1127413
v900	987	17268	701368;701403;701408;701410;701439
v901	988	17215	336093
v902	988	17227	418888
v946	1036	17285	811958;811983;811992
v1004	1092	17271	722235;722238;722251;722266
v1159	1254	17293	870590;870611;870616
v1239	1334	17236	477922
v1240	1334	17251	591155
v1289	1394	17222	380356;380367;380379;380381;380383;380384;380385;380389;380390;382652;382660;382721;382838
v1290	1394	17298	903181;903182;903239
v1291	1394	17340	1172437;1172449;1172618
v1294	1397	17333	1116257;1116270;1116280;1116285;1116288;1116291;1116297;1116305;1116315;1116322;1116326;1116378;1116447;1116449;1116482;1116493;1116500;1116504;1116505;1116506;1116510;1116511;1116512;1116513;1116536;1116540;1116544;1116553;1116586
v1454	1558	17185	126575;126580;126582;126587;126591;126596;126610;126743;126744;126745
v1533	1629	17240	504926;504929;504933;504934;504936;504938;504939
v1556	1646	17189	152739;152741
v1583	1672	17284	800111;800112;800114;800120;800122;800130;800140;800175;800180;800196;800200;800203;800204;800206;800207;800214;800219;800223;800232;800236;800238
v1584	1672	17298	896910;896917;896926;897192;897196;897198;897199;897201;897202;897203
v1645	1725	17193	177034;177036;177038;177039;177040
v1811	1878	17226	410713;410715;410748
v1986	2066	17255	611672
v1989	2069	17247	556483;556494;556496
v2081	2170	17208	286581
v2082	2170	17279	772364;772391;772556;772583;772593;772611;772631;772656;772665;772676;772687
v2083	2170	17321	1053164;1053172;1053181;1053189;1053194;1053202;1053207
v2152	2209	17302	929248;929254;929257
v2255	2310	17277	753586;753594;753597;753619;753639;753658
v2394	2453	17195	187538;187544;187556;187563
v2461	2518	17227	420949;420953;420955
v2638	2679	17216	340640;340653;340683;340696;340713;340729;340736;340772;341356
v2639	2679	17261	653594;653597;653599;653613;653617
v2643	2683	17168	12019;12051;12084;12093;12184;12213;12456;12513;12573;12757
v2644	2683	17298	898951;898956;898963;898964;898966;898982;898986
v2791	2803	17240	506118;506123;506137;506142;506163
v2814	2832	17222	381524;381526;381528;381534;381541
v2993	3003	17322	1058495;1058498;1058499;1058503;1058505;1058506;1058513;1058586;1058590;1058591;1058595;1058598;1058622;1058631;1058634;1058642;1058643;1058648;1058649;1058652;1058655
v3020	3031	17176	63301
v3021	3031	17199	219663;219682;219695;219697;219702;219708;219717;219721;219725;219734;219741;219745;219748;219750;219755;219764;219801;219805;219898;219904;219917;219938;219954;219959;219968;219973;219978;219989;219999;220004;220024;220059;220062;220075;220078;220079;220086;220097;220150;220151;220227;220245;220259;220278;220293;220318;220342;220345
v3111	3116	17313	1000237;1000241
v3198	3210	17242	518440;518454;518468;518471;518472;518475
v3248	3279	17252	593044;593058;593061;593062;593100
v3289	3318	17287	827944;827968;827980;828303;828308;828310;828311;828313;828314;828315;828317;828322;828323;828326
v3547	3620	17189	154469;154475;154477;154485;154487
v3684	3747	17230	440750;440759
v3685	3747	17251	583798;583821;583834;583835
v3686	3747	17272	725982;725991
v3687	3747	17289	836374;836384
v3688	3747	17313	995487;995505;995554
v3693	3753	17288	833988;833989;834488
v3694	3753	17333	1116122;1116127;1116128;1116137;1116139;1116141;1116146
v3695	3753	17335	1133013;1133025;1133038;1133073;1133088;1133091;1133094;1133096
v3696	3753	17341	1177365;1177376;1177388;1177391
v3716	3772	17253	598284
v3853	3911	17271	719631;719632;719633;719648;719668;719673;719691
v3854	3911	17345	1212268;1212294;1212311;1212352
v3911	3951	17227	421542;421562;421572;421604;421614;421618
v3957	4003	17258	633705;633713;633716;633732;633741;633763
v4000	4056	17175	58407;58414;58419;58421;58438;58439;58443;58452;58457;58993;59000;59002;59016;59019;59073;59075;59081;59085;59088;59099;59100;59101
v4001	4056	17182	107799;107803;107809;107811;107815;109390;109398;109406;109410;109433;109465;109492;109500;109507;109525;109539;109542;109550
v4002	4056	17184	119813;119816;119819;119823;119826;119830;119831;119832
v4003	4056	17192	174834;175603;175609;175613;175621;175625;175627;175632;175635;175636
v4004	4056	17196	194659;194695;194702;194729;194734;194736;194786;194811;194820;194849;194928;194962;194965;194978;197033;197064;197535;197565;197573;197576;197583;197604;197621;197639;197652;197671;197697
v4005	4056	17203	247251;247257;247285;247287;247289;247293;247298;247770;247776;247794;247818;247829;247848;248264;248271
v4006	4056	17206	268970;268989;269006;269031;269068;269072;269085;269110;269158;269453;269457;269461;269472;269491
v4007	4056	17213	318972
v4008	4056	17215	333405;333411;333420;333449;333452;333467;333472;333478;333482;333507;333511
v4009	4056	17217	345718
v4010	4056	17218	356710;356720;356737;356742
v4011	4056	17221	373553;373567
v4012	4056	17223	387541
v4013	4056	17224	401559;401561;401563;401564;401574;401577
v4014	4056	17230	446528;446535;446546;446547;446555;446562
v4015	4056	17235	469386;469396;469398
v4016	4056	17242	521617;521639
v4017	4056	17255	615427;615429
v4018	4056	17258	635768;635772;635791;635802;635815;635903
v4019	4056	17286	817783;817790
v4020	4056	17298	902948
v4021	4056	17300	915669
v4022	4056	17307	963271;963274;963281;963289
v4023	4056	17321	1052403;1053045
v4037	4066	17171	28043;28049;28052;28053;28054;28055;28074;28076;28077;28079;28084;28089;28099;28104;28110;28111
v4045	4075	17218	352199;352209;352211;352213;352217;352221;352222;352223;352235;352240;352241;352252;352264;352265;352269;352291;352296;352301;352309;352310;352311
v4046	4075	17299	903755;903761;903762
v4125	4168	17225	405629;405635;405639;405640;405646;405647;405649;405650;405652
v4137	4180	17190	158785;158787;158790;158825
v4144	4188	17197	204363;204371;204375;204378;204381;204392;204462;204470;204471;204478;204602;204713;204715
v4151	4196	17242	523316;523318;523711
v4189	4234	17339	1161771;1161781;1161786;1161787
v4350	4399	17196	193015;193017;193029;193030;193074;193077;193100;193103;193110;193129;193692
v4440	4491	17195	187280
