index	wifi_id	ts	area	dwell_time
35	44245	1483233767	max	271
1292	43214	1483247195	max	100
2078	41563	1483250726	max	667
2080	41563	1483250731	out	52
2111	34650	1483250881	max	2041
2113	34650	1483250882	out	746
2396	41563	1483252165	max	234
2412	41563	1483252209	out	176
2424	41563	1483252241	sensor19	9
2425	41563	1483252241	jk3	9
2426	41563	1483252241	indi-brand2	9
2427	41563	1483252241	indi-brand	9
2428	41563	1483252241	in	122
2430	41563	1483252250	sensor19	38
2443	41563	1483252289	sensor14	4
2444	41563	1483252289	center	42
2445	41563	1483252293	sensor5	35
2455	41563	1483252328	sensor7	3
2456	41563	1483252328	ef	3
2472	34650	1483252381	out	541
2473	34650	1483252381	center	300
2474	34650	1483252381	in	300
2475	34650	1483252381	bcd	300
2480	34650	1483252382	sensor6	137
2512	34650	1483252520	sensor7	161
2513	34650	1483252520	ef	161
2663	49032	1483252888	out	661
2664	49032	1483252888	max	661
3712	34650	1483256882	max	300
3876	39832	1483257594	max	4
4221	39832	1483258559	max	62
4296	1334	1483258695	max	56
4298	1334	1483258699	out	20
4377	43214	1483258971	max	1984
4378	43214	1483258972	out	1886
4379	43214	1483258975	in	207
4381	43214	1483258981	out2	64
4393	43214	1483259046	out1	6
4394	43214	1483259052	out1	120
4776	8848	1483260370	max	659
4801	45413	1483260455	max	7
4820	17281	1483260513	max	1339
4822	17281	1483260552	out	1300
4827	17281	1483260563	in	1227
5030	9907	1483261351	max	42
5095	45842	1483261577	max	840
5096	45842	1483261578	out	834
5097	45842	1483261578	in	800
5098	45842	1483261578	counter	778
5099	45842	1483261578	sensor3	570
5142	17281	1483261778	center	11
5143	17281	1483261778	ef	4
5144	17281	1483261779	sensor16	3
5145	17281	1483261779	ghi	10
5147	17281	1483261782	sensor7	6
5228	45842	1483262149	out2	207
5282	45842	1483262356	sensor4	2
5283	45842	1483262356	jk3	13
5288	45842	1483262359	indi-brand2	10
5289	45842	1483262359	sensor19	10
5290	45842	1483262359	indi-brand	10
5479	18938	1483263293	max	31
5525	4981	1483263531	max	14
7712	44654	1483277360	max	8
7769	36071	1483321048	max	16
7862	17791	1483323483	max	61
8571	24931	1483329746	max	240
9389	4056	1483334848	max	512
9404	4056	1483334907	out	437
9453	16274	1483335201	max	222
9742	4056	1483336667	max	61
9743	4056	1483336667	out	59
10129	33687	1483339033	out	248
10132	33687	1483339052	max	232
10659	46841	1483342020	max	16
10711	18539	1483342331	max	347
10720	18539	1483342380	out	293
10953	35390	1483343301	max	237
10955	35390	1483343312	out	212
10963	35390	1483343364	in	72
10964	35390	1483343364	ef	14
10965	35390	1483343364	center	72
10966	35390	1483343365	sensor17	10
10968	35390	1483343375	jk	41
10969	35390	1483343375	jk3	41
10970	35390	1483343375	jk2	41
10971	35390	1483343375	sensor4	3
10972	35390	1483343378	sensor8	38
10973	35390	1483343417	sensor9	3
10974	35390	1483343420	sensor3	15
10991	17283	1483343649	max	71
11041	41513	1483343900	max	45
11044	41513	1483343919	out	12
11127	11231	1483344333	max	244
11128	11231	1483344334	out	245
11131	11231	1483344342	sensor5	55
11132	11231	1483344342	in	63
11133	11231	1483344342	center	63
11134	11231	1483344342	bcd	63
11152	11231	1483344397	sensor12	8
11312	16274	1483345236	max	6
11566	20366	1483346774	max	78
11569	20366	1483346803	out	37
11919	35371	1483348599	max	4495
11920	35371	1483348600	out	4177
11922	35371	1483348620	sensor19	60
11923	35371	1483348620	jk3	1984
11924	35371	1483348620	indi-brand2	1984
11925	35371	1483348620	indi-brand	1984
11926	35371	1483348620	in	2014
11931	35371	1483348681	sensor17	8
11933	35371	1483348690	center	1944
11934	35371	1483348690	jk	1692
11935	35371	1483348690	jk2	1692
11936	35371	1483348690	sensor10	9
11937	35371	1483348700	sensor11	29
11945	35371	1483348730	sensor9	10
11946	35371	1483348741	ef	200
11947	35371	1483348741	bcd	200
11948	35371	1483348741	sensor2	9
11951	35371	1483348751	sensor5	19
11953	35371	1483348770	sensor2	11
11954	35371	1483348781	sensor6	9
11959	35371	1483348791	sensor15	9
11960	35371	1483348791	ghi	160
11962	35371	1483348801	sensor14	40
11966	35371	1483348841	sensor1	59
11977	35371	1483348901	sensor3	40
11983	35371	1483348942	sensor5	9
11984	35371	1483348951	sensor16	19
11985	35371	1483348971	sensor18	60
11991	35371	1483349032	out2	645
11994	35371	1483349042	ent2	676
12005	2683	1483349073	out	3882
12006	2683	1483349073	max	3882
12018	2683	1483349102	in	3687
12019	2683	1483349102	sensor19	81
12051	2683	1483349184	sensor7	82
12052	2683	1483349184	ef	3432
12053	2683	1483349184	center	3432
12084	2683	1483349266	sensor14	26
12085	2683	1483349266	ghi	590
12093	2683	1483349293	sensor5	563
12160	35371	1483349677	sensor9	234
12184	2683	1483349857	sensor15	157
12187	35371	1483349912	sensor18	20
12193	35371	1483349932	sensor17	28
12201	35371	1483349961	sensor9	10
12202	35371	1483349972	ef	622
12203	35371	1483349972	sensor16	9
12204	35371	1483349972	ghi	662
12207	35371	1483349983	bcd	511
12208	35371	1483349983	sensor5	9
12211	35371	1483349992	sensor10	120
12213	2683	1483350015	sensor9	1102
12229	35371	1483350113	sensor4	39
12232	35371	1483350153	counter	341
12233	35371	1483350153	sensor3	9
12234	35371	1483350163	sensor15	80
12243	35371	1483350243	sensor2	139
12257	35371	1483350383	sensor4	110
12280	35371	1483350494	sensor2	80
12304	35371	1483350575	sensor15	9
12305	35371	1483350584	sensor7	10
12307	35371	1483350594	sensor8	9
12310	35371	1483350604	sensor19	10
12312	35371	1483350615	out2	9
12313	35371	1483350624	out1	9
12456	2683	1483351117	sensor3	208
12457	2683	1483351117	counter	1361
12513	2683	1483351326	sensor2	401
12514	2683	1483351326	bcd	401
12573	2683	1483351728	sensor2	750
12675	35371	1483352035	in	713
12757	2683	1483352479	sensor3	137
13023	44795	1483353885	max	91
13069	39020	1483354225	max	42
13231	2683	1483354964	max	128
13253	45413	1483355143	max	18
13393	16856	1483356169	max	4
13408	35371	1483356316	max	670
13416	35371	1483356336	out	649
13426	35371	1483356364	in	30
13429	35371	1483356364	sensor7	19
13431	35371	1483356384	out2	10
13706	20366	1483357523	max	2762
13721	20366	1483357566	out	2713
13989	17271	1483359315	max	60
13995	20366	1483359358	in	841
13996	20366	1483359360	sensor16	4
13997	20366	1483359360	ghi	725
13998	20366	1483359360	center	792
14001	20366	1483359365	sensor7	3
14002	20366	1483359365	ef	719
14003	20366	1483359370	indi-brand	826
14004	20366	1483359370	sensor19	3
14005	20366	1483359370	jk3	826
14006	20366	1483359370	indi-brand2	826
14011	20366	1483359373	sensor17	10
14013	20366	1483359383	sensor18	352
14014	20366	1483359383	jk2	773
14054	48512	1483359718	max	18
14058	20366	1483359736	out1	248
14073	20366	1483359981	ent	36
14077	20366	1483359984	sensor5	22
14078	20366	1483359984	bcd	76
14080	20366	1483360007	sensor12	10
14082	20366	1483360017	sensor13	9
14085	20366	1483360026	sensor6	5
14086	20366	1483360032	sensor14	28
14090	20366	1483360060	sensor6	5
14091	20366	1483360066	sensor14	8
14092	20366	1483360074	sensor15	8
14096	20366	1483360085	sensor16	18
14102	20366	1483360097	ent2	63
14105	20366	1483360104	sensor10	2
14106	20366	1483360104	jk	47
14108	20366	1483360107	sensor4	26
14123	20366	1483360134	sensor4	17
14125	20366	1483360154	sensor9	3
14126	20366	1483360157	sensor18	3
14127	20366	1483360160	sensor17	35
14128	9907	1483360175	max	25
14211	20366	1483361356	max	144
14212	20366	1483361359	out	76
14265	45866	1483362349	max	64
14267	45866	1483362369	out	2
14276	25865	1483362522	max	428
14288	20366	1483362979	max	142
14289	20366	1483363046	out	450
14304	25865	1483364364	max	2397
14374	25865	1483366133	out	612
14587	2683	1483409919	max	6
14706	38661	1483412513	max	394
14707	38661	1483412546	out	331
14715	38661	1483412642	in	235
14716	38661	1483412642	sensor16	100
14717	38661	1483412642	ghi	234
14718	38661	1483412642	center	234
14728	38661	1483412743	sensor8	134
14729	9512	1483412747	out	4
14730	9512	1483412751	max	353
14820	18718	1483413534	max	48
14822	18718	1483413535	out	30
14960	18718	1483415377	max	22
14972	34198	1483415450	max	24
15350	35371	1483418340	max	30
16437	17500	1483426275	max	1044
16570	17500	1483426877	out	442
16574	17500	1483426892	sensor19	8
16575	17500	1483426892	in	83
16580	17500	1483426901	center	74
16581	17500	1483426902	sensor8	30
16592	17500	1483426932	sensor14	21
16595	17500	1483426954	sensor5	21
16596	17500	1483426954	bcd	21
16813	5294	1483428539	max	44
17510	46996	1483431626	max	98
17605	17240	1483432119	max	199
17606	17240	1483432120	out	194
17618	17240	1483432157	in	41
17619	17240	1483432157	center	9
17620	17240	1483432157	bcd	3
17621	17240	1483432158	ghi	8
17622	17240	1483432161	sensor5	5
17623	17240	1483432166	sensor16	18
17883	42068	1483433788	max	170
17884	42068	1483433791	out	166
17886	42068	1483433803	in	121
17887	42068	1483433804	bcd	2
17888	42068	1483433804	center	120
17889	42068	1483433804	sensor5	2
17890	42068	1483433806	sensor5	32
17905	42068	1483433838	sensor7	66
17914	42068	1483433905	ghi	19
17915	42068	1483433905	sensor14	19
17955	34198	1483434154	max	126
18144	9512	1483435341	max	56
18444	38661	1483436872	max	696
18458	38661	1483436931	out	638
18480	38661	1483436986	in	582
18482	38661	1483436990	center	542
18483	38661	1483436990	sensor5	59
18506	38661	1483437050	out1	482
18521	34493	1483437092	max	28
18523	34493	1483437093	out	26
18525	18539	1483437121	max	2
18920	10346	1483439148	out	134
18926	10346	1483439168	max	113
19010	18539	1483439682	max	4
19225	44686	1483441068	max	21
19226	44686	1483441070	center	19
19227	44686	1483441070	ef	19
19228	44686	1483441070	in	19
19229	44686	1483441070	sensor7	19
19230	44686	1483441070	out	19
19474	45413	1483442475	max	21
19851	38661	1483446312	max	963
19891	38661	1483446707	out	568
20074	18539	1483448723	max	21
20077	45866	1483448846	max	3
20078	45866	1483448846	out	3
20305	14633	1483495981	max	9
20532	27992	1483499640	max	75
20967	2683	1483503826	max	7
21131	26908	1483504778	max	276
21132	26908	1483504788	out	267
21641	6672	1483508838	max	1474
21643	6672	1483508843	out	1444
21648	6672	1483508855	in	27
21650	6672	1483508870	out2	2
21651	6672	1483508872	sensor7	4
21652	6672	1483508876	sensor19	6
21653	6672	1483508876	jk3	6
21654	6672	1483508876	indi-brand2	6
21655	6672	1483508876	indi-brand	6
21667	10279	1483509025	max	37
21668	10279	1483509046	out	4
21796	6672	1483509898	in	105
22002	39020	1483511225	max	161
22003	39020	1483511226	out	160
22004	39020	1483511226	in	160
22122	32311	1483511781	max	13
