visit_id	revisit_interval	revisit_intention
v105	190.78	1
v163		0
v198	111.82	1
v209		0
v248	74.34	1
v422	230.85	1
v508		0
v511		0
v597	24.18	1
v645		0
v682	78.0	1
v795		0
v818		0
v832		0
v891	40.3	1
v902	127.73	1
v982		0
v1036		0
v1075		0
v1248	145.15	1
v1257		0
v1284	351.85	1
v1287		0
v1327		0
v1408	53.07	1
v1458		0
v1560		0
v1620		0
v1693		0
v1694	172.15	1
v1698		0
v1709		0
v1725		0
v1727	301.17	1
v1745		0
v1749		0
v1767		0
v1793		0
v1828		0
v1834		0
v1844		0
v1905		0
v2015		0
v2106		0
v2151	303.74	1
v2155		0
v2186	117.14	1
v2197	246.25	1
v2235	102.73	1
v2295		0
v2344		0
v2388	198.86	1
v2391	67.07	1
v2527		0
v2531		0
v2599		0
v2699		0
v2768		0
v2803	57.8	1
v2923	64.88	1
v2943		0
v2998		0
v3130	101.12	1
v3153	279.99	1
v3270	98.24	1
v3388		0
v3413		0
v3645	175.91	1
v3674		0
v3783		0
v3805		0
v3917		0
v3930		0
v4004		0
v4130		0
v4182	57.93	1
v4235		0
v4245		0
v4288		0
v4349		0
v4378		0
v4384	296.12	1
v4400		0
v4442		0
v4512		0
v4689		0
v4712		0
v4905		0
v5014		0
v5024		0
v5124		0
v5182		0
v5265		0
v5289		0
v5374		0
v5390		0
v5415		0
v5422		0
v5565		0
v5596		0
v5784		0
v6050		0
v6073		0
v6077		0
v6222		0
v6241	171.1	1
v6253		0
v6271		0
v6282		0
v6339		0
v6442		0
v6445		0
v6484		0
v6521		0
v6579		0
v6601		0
v6609		0
v6618		0
v6628		0
v6766		0
v6786	220.79	1
v6802		0
v6822		0
v6913		0
v6951	269.77	1
v6960		0
v7023		0
v7086		0
v7112		0
v7136		0
v7179		0
v7234		0
v7270	189.55	1
v7340		0
v7350	273.78	1
v7456	151.06	1
v7495		0
v7727		0
v7812		0
v7891		0
v7939		0
v7962	133.9	1
v8201		0
v8245	238.68	1
v8254	174.08	1
v8296		0
v8305		0
v8311		0
v8478		0
v8567		0
v8603		0
v8617		0
v8652		0
v8667		0
v8733		0
v8749		0
v8894		0
v8926		0
v8974		0
v9059		0
v9061		0
v9089		0
v9097		0
v9160		0
v9226		0
v9266		0
v9304		0
v9421		0
v9470		0
v9534	128.6	1
v9574	67.19	1
v9592		0
v9667	132.94	1
v9739		0
v9909		0
v9930		0
v9980	109.21	1
v9989		0
v10058		0
v10091		0
v10135		0
v10165		0
v10241		0
v10302		0
v10313	145.16	1
v10351		0
v10358		0
v10365		0
v10395		0
v10401		0
v10415		0
v10448		0
v10590	283.12	1
v10616	42.85	1
v10618		0
v10666		0
v10731	242.92	1
v10827	183.0	1
v10921		0
v10936		0
v10959	100.91	1
v10973	95.99	1
v10983		0
v11084		0
v11183		0
v11194		0
v11264		0
v11339		0
v11492		0
v11540		0
v11554	208.97	1
v11675		0
v11716		0
v11823	102.76	1
v11983		0
v11996		0
v12046		0
v12055	151.81	1
v12130		0
v12174		0
v12387	55.96	1
v12474		0
v12587		0
v12758		0
v12769	112.05	1
v12800		0
v12857		0
v12912	31.82	1
v12915		0
v13032		0
v13499		0
v13523	88.95	1
v13540		0
v13559	69.18	1
v13565		0
v13836		0
v13886	250.15	1
v13980		0
v14002		0
v14080	245.83	1
v14099		0
v14100		0
v14119		0
v14181		0
v14207	287.99	1
v14245		0
v14270		0
v14408		0
v14477		0
v14513		0
v14645		0
v14659		0
v14773	168.98	1
v14790	255.77	1
v14859		0
v14870	204.63	1
v14907		0
v15153		0
v15218		0
v15232		0
v15290		0
v15292		0
v15339		0
v15376	241.89	1
v15381		0
v15460		0
v15659		0
v15662		0
v15701		0
v15745		0
v15761		0
v15776		0
v15918		0
v15993		0
v16134	131.95	1
v16194		0
v16207		0
v16430	248.09	1
v16535		0
v16603		0
v16647		0
v16651		0
v16666		0
v16697	172.25	1
v16700	236.96	1
v16740		0
v16799		0
v16855		0
v16953		0
v16955		0
v16962	312.01	1
v17126		0
v17163	128.96	1
v17187	169.01	1
v17198		0
v17357		0
v17361	207.84	1
v17524		0
v17561	243.92	1
v17565		0
v17660		0
v17755	253.02	1
v17789		0
v17818	356.02	1
v17884		0
v17957		0
v18008		0
v18109	159.89	1
v18110		0
v18128		0
v18179	116.06	1
v18181	23.07	1
v18494		0
v18495		0
v18508		0
v18532		0
v18536		0
v18601		0
v18633	207.96	1
v18639	201.14	1
v18678		0
v18699		0
v18732	143.05	1
v18812		0
v18894		0
v18945	186.0	1
v18967		0
v19011		0
v19019		0
v19070		0
v19095		0
v19255		0
v19396		0
v19487		0
v19538		0
v19563		0
v19622		0
v19652		0
v19704		0
v19717	156.82	1
v19753	255.09	1
v19783		0
v19807		0
v19862		0
v19867		0
v19878	207.92	1
v19891		0
v19946		0
v20008		0
v20043	180.99	1
v20158		0
v20179		0
v20303		0
v20325		0
v20339		0
v20497		0
v20514		0
v20526		0
v20542	183.27	1
v20594	91.9	1
v20645		0
v20675		0
v20762		0
v20843		0
v20850		0
v20903		0
v21024		0
v21038		0
v21046	124.17	1
v21061		0
v21132		0
v21196	233.95	1
v21238		0
v21251		0
v21256		0
v21267	208.96	1
v21287		0
v21292	62.75	1
v21310		0
v21324		0
v21387		0
v21723		0
v21753		0
v21881		0
v21952		0
v21985	258.05	1
v21990		0
v22093		0
v22110		0
v22140		0
v22195		0
v22390		0
v22421		0
v22455	71.01	1
v22522		0
v22578		0
v22585		0
v22645		0
v22661		0
v22690		0
v22696	39.27	1
v22741	195.97	1
v22838	282.29	1
v22851		0
v22900		0
v22931		0
v22939	225.12	1
v22947	76.19	1
v22971	209.9	1
v22980		0
v22991		0
v22992	263.89	1
v23168		0
v23294	173.22	1
v23309		0
v23406		0
v23439		0
v23449	88.0	1
v23653	140.62	1
v23783	188.29	1
v23816		0
v23841		0
v23903		0
v23926	148.05	1
v24078	184.97	1
v24286		0
v24330		0
v24354		0
v24422		0
v24480		0
v24493		0
v24688		0
v24691		0
v24770		0
v24806		0
v24850		0
v24958		0
v24981		0
v25002		0
v25022		0
v25077		0
v25111		0
v25114		0
v25135	229.12	1
v25221		0
