index	wifi_id	ts	area	dwell_time
453	23272	1483241376	out	6405
464	23272	1483241431	in	5968
465	23272	1483241431	1f-c	1084
466	23272	1483241431	1f	1564
472	23272	1483241439	1f-d	1100
480	23272	1483241451	1f-e	1403
585	23272	1483241884	b1	5430
600	23272	1483241996	b1_only	4611
724	23272	1483242425	2f	380
811	10234	1483242796	out	2931
826	10234	1483242853	in	2865
827	10234	1483242853	1f-c	171
828	10234	1483242853	1f	171
879	10234	1483243021	1f-d	2
887	23272	1483243029	cafe	3579
888	23272	1483243033	b1-a	288
893	23272	1483243039	b1-b	238
1022	10234	1483243560	2f	411
1026	10234	1483243568	2f-e	392
1053	10234	1483243653	2f-b	82
1099	10234	1483243832	2f-c	74
1104	10234	1483243843	2f-d	64
1188	10234	1483244047	b1	596
1201	10234	1483244092	b1_only	551
1205	10234	1483244105	b1-b	533
1539	10234	1483245177	1f	495
1619	23272	1483245549	b1-b	1040
1633	23272	1483245590	b1-a	1011
1653	23272	1483245665	b1-c	485
1722	21673	1483246010	out	1685
1737	21673	1483246084	in	1605
1738	21673	1483246084	1f	485
1739	21673	1483246090	1f-d	213
1840	23272	1483246627	2f	553
1841	23272	1483246632	1f	767
1844	23272	1483246650	2f-a	519
1865	23272	1483246702	2f-d	244
1912	23272	1483246882	2f-b	67
1927	23272	1483246925	2f-e	207
1930	23272	1483246929	2f-c	233
1975	21673	1483247108	b1	305
1977	21673	1483247109	b1_only	295
1981	21673	1483247128	b1-b	236
1999	23272	1483247210	1f-e	132
2005	23272	1483247216	1f-d	149
2006	23272	1483247223	1f-c	136
2057	21673	1483247382	b1-a	23
2060	21673	1483247386	cafe	17
2097	21673	1483247469	1f	218
2108	21673	1483247485	1f-e	202
2138	12437	1483247517	out	1214
2165	12437	1483247580	1f-c	71
2166	12437	1483247580	1f	232
2167	12437	1483247580	in	1088
2195	10234	1483247631	out	7
2201	12437	1483247648	1f-d	13
2310	12437	1483247974	2f	17
2431	12437	1483248587	1f	81
2835	28605	1483250106	out	1762
2864	37970	1483250176	out	2489
2934	37970	1483250289	1f	194
2936	37970	1483250289	in	194
2937	37970	1483250291	1f-c	191
2939	37970	1483250299	1f-d	15
2957	37970	1483250392	1f-e	6
2959	2625	1483250400	out	6009
3019	28605	1483250648	1f	64
3020	28605	1483250648	in	1218
3040	2625	1483250834	in	5558
3041	2625	1483250834	1f	80
3043	2625	1483250884	1f-d	30
3125	28605	1483251225	2f-c	63
3126	28605	1483251225	2f	178
3130	28605	1483251276	2f-a	14
3148	28605	1483251312	2f-b	19
3155	2625	1483251337	b1	4749
3156	2625	1483251342	b1_only	578
3161	2625	1483251348	b1-b	57
3183	37970	1483251419	in	1156
3202	2625	1483251465	b1-a	53
3227	28605	1483251537	b1	281
3241	37970	1483251592	b1	853
3261	28605	1483251705	b1_only	103
3273	37970	1483251733	b1_only	668
3298	28605	1483251807	cafe	8
3303	28605	1483251854	1f	12
3317	2625	1483251878	cafe	4073
3344	37970	1483252018	cafe	331
3347	37970	1483252034	b1-a	3
4552	2625	1483256346	1f	46
5000	320	1483258154	out	54
5001	320	1483258154	in	54
5002	320	1483258154	b1	54
5235	22922	1483259010	out	232
5262	320	1483259089	out	34
5263	320	1483259089	in	34
5264	320	1483259089	b1	34
5396	27867	1483259488	out	50
5404	27867	1483259515	in	6
5405	27867	1483259515	1f	6
5614	24982	1483260038	out	2355
5649	320	1483260147	out	1089
5650	320	1483260148	in	996
5651	320	1483260148	b1	996
5668	320	1483260189	cafe	917
5698	12437	1483260309	out	679
5699	12437	1483260310	1f	81
5700	12437	1483260310	in	605
5705	12437	1483260330	1f-e	60
5803	24982	1483260648	in	1644
5804	24982	1483260648	1f	1644
5811	12437	1483260665	b1	250
5812	12437	1483260672	b1_only	235
5813	12437	1483260672	b1-b	139
5841	24982	1483260734	1f-e	206
5850	24982	1483260759	2f	1258
5876	24982	1483260816	b1	1207
5879	12437	1483260831	b1-a	72
5880	24982	1483260842	b1_only	706
5910	24982	1483261074	cafe	949
5913	24982	1483261080	b1-a	162
5920	24982	1483261129	b1-b	403
6070	24982	1483261636	2f-a	322
6073	24982	1483261652	2f-d	229
