visit_id	revisit_interval	revisit_intention
v108		0
v166	35.93	1
v167	2.79	1
v168	24.31	1
v169		0
v177		0
v194		0
v234		0
v257		0
v499	0.84	1
v500		0
v645	3.05	1
v646	34.85	1
v647		0
v697		0
v839		0
v1025		0
v1053		0
v1077		0
v1187		0
v1188		0
v1235	2.75	1
v1236		0
v1249		0
v1409		0
v1446		0
v1453		0
v1712	106.98	1
v1713		0
v1748		0
v1803		0
v1867		0
v2076		0
v2177		0
v2408		0
v2773		0
v2799		0
v2855		0
v2875	10.41	1
v2876		0
v3054		0
v3072		0
v3126		0
v3156		0
v3189	1.93	1
v3190		0
v3206		0
v3219		0
v3306	17.97	1
v3307	4.26	1
v3308	46.1	1
v3309	1.58	1
v3310	1.41	1
v3311		0
v3373	62.03	1
v3374		0
v3558		0
v3583		0
v3653		0
v3681	5.81	1
v3682		0
v3764	1.88	1
v3765		0
v3806		0
v3952		0
v3979		0
v4054		0
v4111		0
v4162		0
v4268		0
v4565		0
v4712		0
v4716		0
v4875	19.98	1
v4876	28.0	1
v4877	21.67	1
v4878		0
v4887		0
v4956		0
v5003		0
v5004		0
v5052		0
v5167	75.03	1
v5168	6.86	1
v5169		0
v5217		0
v5372		0
v5377		0
v5480		0
v5559		0
v5560		0
v5629		0
v5641	5.03	1
v5642		0
v5707		0
v5787		0
v5823		0
v5921		0
v5932		0
v5977	8.26	1
v5978	38.96	1
v5979		0
v6048		0
v6057		0
v6076		0
v6088		0
v6089		0
v6181		0
v6208	47.25	1
v6209		0
v6277	0.52	1
v6278		0
v6280		0
v6352		0
v6365		0
v6381		0
v6419	1.16	1
v6420		0
v6447	4.31	1
v6448		0
v6458		0
v6495		0
v6581	2.94	1
v6582		0
v7009		0
v7058		0
v7099		0
v7144		0
v7196	1.31	1
v7197		0
v7265		0
v7316		0
v7424		0
v7505		0
v7532	1.12	1
v7533		0
v7534		0
v7717		0
v7770		0
v7809		0
v7964		0
v8102		0
v8109	1.18	1
v8110		0
v8137		0
v8170		0
v8220	1.71	1
v8221		0
v8399		0
v8401		0
v8427		0
v8507		0
v8520		0
v8579		0
v8582		0
v8722		0
v8824		0
v8855	45.78	1
v8856	1.3	1
v8857		0
v8916		0
v8953		0
v8989		0
v9016	0.96	1
v9017		0
v9090		0
v9092		0
v9096		0
v9188	26.73	1
v9189		0
v9422	1.04	1
v9423		0
v9436	22.89	1
v9437	59.9	1
v9438		0
v9458	0.67	1
v9459		0
v9485		0
v9522		0
v9634		0
v9812		0
v9846	8.99	1
v9847		0
v10032		0
v10077		0
v10114	1.44	1
v10115	22.61	1
v10116	24.11	1
v10117		0
v10203		0
v10260	7.85	1
v10261	51.07	1
v10262		0
v10315	2.19	1
v10316		0
v10331		0
v10393		0
v10546	30.7	1
v10547		0
v10557	2.04	1
v10558	13.56	1
v10559	1.0	1
v10560	9.38	1
v10561		0
v10606	1.92	1
v10607	24.97	1
v10608		0
v10629		0
v10686	2.02	1
v10687	0.94	1
v10688		0
v10923		0
v10949		0
v10956		0
v10977	0.92	1
v10978		0
v11008		0
v11050		0
v11105		0
v11171	1.26	1
v11172		0
v11242	2.79	1
v11243		0
v11387	0.79	1
v11388		0
v11415		0
v11419	0.78	1
v11420		0
v11538		0
v11578		0
v11751	90.89	1
v11752		0
v11801		0
