visit_id	revisit_interval	revisit_intention
v39		0
v68		0
v133	44.04	1
v183		0
v225		0
v234		0
v293	151.07	1
v333	88.34	1
v392		0
v457		0
v494	140.08	1
v610		0
v623		0
v763		0
v884		0
v889		0
v944		0
v966		0
v1201		0
v1215	62.03	1
v1335		0
v1359		0
v1478	11.12	1
v1486		0
v1488		0
v1523	41.56	1
v1539	129.0	1
v1593		0
v1782		0
v1920		0
v1988		0
v2012		0
v2068		0
v2254		0
v2330		0
v2543		0
v2585		0
v2608		0
v2637		0
v2657		0
v2857		0
v2922		0
v3061		0
v3102	349.99	1
v3161		0
v3254		0
v3267	221.84	1
v3354		0
v3383		0
v3580		0
v3672		0
v3728		0
v3755	35.76	1
v4005		0
v4011		0
v4027		0
v4174		0
v4370		0
v4419		0
v4436	216.91	1
v4488	53.77	1
v4537		0
v4611		0
v4689		0
v4948	87.62	1
v5006		0
v5158		0
v5205		0
v5268		0
v5467		0
v5573		0
v5583		0
v5626		0
v5658		0
v6123		0
v6264		0
v6334		0
v6418		0
v6531		0
v6537		0
v6564		0
v6591		0
v6662		0
v6711		0
v6794		0
v6806		0
v6964		0
v6969		0
v7239		0
v7352		0
v7358	156.97	1
v7384		0
v7574	165.05	1
v7576		0
v7787		0
v7797		0
v7833		0
v7877		0
v7938		0
v7973		0
v8051		0
v8108		0
v8405	189.76	1
v8444		0
v8647		0
v8689		0
v8797		0
v9047		0
v9285		0
v9330	268.0	1
v9636		0
v9642	65.12	1
v9773		0
v9873		0
v9878		0
v9944		0
v9992	4.55	1
v10113		0
v10190		0
v10269		0
v10359		0
v10394		0
v10560		0
v10690		0
v10706	59.91	1
v10722		0
v10801		0
v10823	176.88	1
v10912		0
v10993		0
v11075		0
v11135		0
v11261		0
v11303		0
v11379		0
v11383		0
v11411		0
v11661	107.43	1
v11662		0
v11880		0
v11953		0
v12090		0
v12192		0
v12218	253.1	1
v12307		0
v12309	125.99	1
v12315		0
v12350		0
v12500		0
v12509		0
v12693		0
v12777	155.27	1
v12870		0
v13001		0
v13029		0
v13080	231.0	1
v13095		0
v13107		0
v13114		0
v13181		0
v13420		0
v13487		0
v13664		0
v13713	277.99	1
v13924	330.08	1
v14141		0
v14207	70.97	1
v14318		0
v14349		0
v14357		0
v14640		0
v14988		0
v15043	119.63	1
v15064		0
v15236		0
v15282		0
v15388		0
v15567		0
v15568		0
v15677		0
v15813		0
v15818		0
v15831		0
v16124		0
v16137		0
v16256		0
v16406	149.03	1
v16413		0
v16443		0
v16474		0
v16487		0
v16563		0
v16618		0
v16650		0
v16856	274.54	1
v16901		0
v17032		0
v17098	162.78	1
v17133		0
v17176		0
v17292		0
v17397		0
v17441	71.24	1
v17523		0
v17635		0
v17780		0
v17869	327.23	1
v17902		0
v17957		0
v18057		0
v18208	82.07	1
v18225		0
v18237	110.5	1
v18238		0
v18354		0
v18397	216.86	1
v18515		0
v18533		0
v18632		0
v18719		0
v18724		0
v18746		0
v18800		0
v18961		0
v18969		0
v19240		0
v19429		0
v19473		0
v19516		0
v19590		0
v19723		0
v19749		0
v19871		0
v19882		0
v19943		0
v19955		0
v19978		0
v20019		0
v20029		0
v20044		0
v20087		0
v20346		0
v20482		0
v20487		0
v20552	102.24	1
v20572		0
v20578		0
v20753		0
v20887		0
v20931		0
v21227		0
v21238		0
v21286		0
v21326	225.08	1
v21351	37.95	1
v21470		0
v21656	261.01	1
v21666	87.1	1
v21828		0
v21939	120.31	1
v21949		0
v22005		0
v22020		0
v22103		0
v22165	248.97	1
v22207	208.07	1
v22233		0
v22472		0
v22685		0
v22702	172.85	1
v22726		0
v22746		0
v22775		0
v22862		0
v22968	118.18	1
v23214		0
v23218		0
v23268		0
v23329	325.05	1
v23459		0
v23593		0
v23643		0
v23863		0
v23991		0
v24007		0
v24008		0
v24032		0
v24162		0
v24165		0
v24190		0
v24191		0
v24209		0
v24221	72.01	1
v24256	69.14	1
v24424		0
v24429		0
v24532		0
v24554		0
v24560		0
v24601		0
v24681		0
v24687	278.32	1
v24737	26.48	1
v24885		0
v24945		0
v25038		0
v25236		0
v25333	99.94	1
v25420		0
v25500		0
v25518		0
v25602		0
v25916		0
v26049		0
v26190	81.79	1
v26239		0
v26323		0
v26508		0
v26548		0
v26554		0
v26602		0
v26783		0
v26806		0
v26828		0
v26983		0
v27033		0
v27040		0
v27056		0
v27075		0
v27111	100.19	1
v27114		0
v27351		0
v27400		0
v27513		0
v27561		0
v27672		0
v27801		0
v28059		0
v28127		0
v28246		0
v28267		0
v28337		0
v28430		0
v28449		0
v28494		0
v28783	242.12	1
v28844		0
v28921		0
v28929		0
v29001	73.33	1
v29044		0
v29047		0
v29282		0
v29284		0
v29519		0
v29690		0
v29773		0
v29806		0
v29914		0
v30044		0
v30078		0
v30098		0
v30194		0
v30214		0
v30220		0
v30481		0
v30496		0
v30702		0
v30730		0
v30736		0
v30788		0
v30807		0
v30877		0
v30896		0
v30927		0
v30994		0
v31391		0
v31436		0
v31546		0
v31555		0
v31579	241.45	1
v31711		0
v31783		0
v31883		0
v31950		0
v31964		0
v32134		0
v32173		0
v32184	27.07	1
v32219		0
v32226		0
v32321		0
v32595	144.07	1
v32613		0
v32633	258.73	1
v32664	85.2	1
v32903		0
v32950		0
v32957		0
v33055		0
v33086		0
v33114		0
v33147		0
v33148		0
v33169		0
v33236		0
v33268		0
v33290		0
v33419		0
v33512	209.11	1
v33610	108.1	1
v33671		0
v33884		0
v33897		0
v33920	83.92	1
v34026		0
v34130		0
v34197	139.88	1
v34273		0
v34340		0
v34462		0
v34505		0
v34535		0
v34705		0
v34803		0
v34833		0
v34834		0
v34967		0
v34978		0
v35008		0
v35094		0
v35167	19.77	1
v35281		0
v35300		0
v35337		0
v35464	150.05	1
v35488		0
v35554		0
v35780		0
v35845		0
v36006		0
v36083		0
v36114		0
v36188		0
v36305		0
v36306		0
v36485		0
v36540		0
v36613	108.96	1
v36651		0
v36670		0
v36674		0
v36683		0
v36792		0
v36877	130.0	1
v36913		0
v36959		0
v37002		0
v37056	90.93	1
v37136		0
v37236		0
v37240		0
v37317		0
v37326	115.21	1
v37384	264.15	1
v37400	103.91	1
v37529		0
v37582		0
v37593		0
v37732		0
v37738		0
v37789		0
v37889		0
v37938		0
v38106		0
v38251	117.11	1
v38277	74.16	1
v38448	143.1	1
v38487	251.98	1
v38493		0
v38682		0
v38709		0
v38820		0
v38915		0
v39022		0
v39043		0
v39098		0
v39128		0
v39217	124.2	1
v39232		0
v39264		0
v39273		0
