visit_id	revisit_interval	revisit_intention
v2		0
v49		0
v95		0
v185		0
v283		0
v284		0
v428		0
v463		0
v600		0
v753		0
v917		0
v1049		0
v1100		0
v1192		0
v1275		0
v1289		0
v1306		0
v1476		0
v1763		0
v1898		0
v1992		0
v2043		0
v2052		0
v2055		0
v2059		0
v2067		0
v2075		0
v2212		0
v2245		0
v2325		0
v2431		0
v3038		0
v3062		0
v3098		0
v3151		0
v3221		0
v3320		0
v3547		0
v3744		0
v3817		0
v3921		0
v3937		0
v4173		0
v4237	46.77	1
v4244		0
v4287		0
v4414		0
v4852		0
v4900		0
v5020		0
v5106		0
v5295		0
v5302		0
v5400		0
v5476		0
v5668		0
v5757		0
v5873		0
v6005		0
v6030		0
v6246		0
v6258		0
v6290		0
v6404		0
v6406		0
v6709		0
v6797		0
v6916		0
v6936		0
v7001		0
v7008		0
v7594		0
v7653		0
v7922		0
v7938		0
v8055		0
v8196		0
v8390		0
v8437		0
v8443		0
v8500		0
v8590		0
v8609		0
v8637	7.26	1
v8658		0
v8674		0
v8719		0
v8771		0
v8928		0
v8950		0
v9292		0
v9572		0
v9613		0
v9647		0
v9878		0
v9901		0
v9926		0
v9950		0
v9958		0
v10040		0
v10275		0
v10313	59.95	1
v10508		0
v10558		0
v10763		0
v10802		0
v10827		0
v11044		0
v11260		0
v11437		0
v11494		0
v11554		0
v11615		0
v11639		0
v11667		0
v11696		0
v11814		0
v11865		0
v12010		0
v12080		0
v12155		0
v12217		0
v12401		0
v12421		0
v12437		0
v12453		0
v12489		0
v12655		0
v12701		0
v12819		0
v12932		0
v12995		0
v13144		0
v13146		0
v13200		0
v13319		0
v13330		0
v13338		0
v13362		0
v13444		0
v13565		0
v13659		0
v13697		0
v13830		0
v13862		0
v13879		0
v14066		0
v14203		0
v14403		0
v14492		0
v14688		0
v14714		0
v14802		0
v14806		0
v14928		0
v15214		0
v15326		0
v15428		0
v15470		0
v15551		0
v15632		0
v15660		0
v15818		0
v15918		0
v15926		0
v16165		0
v16180		0
v16248		0
v16359		0
v16403		0
v16426		0
v16547		0
v16607		0
v16633		0
v16715		0
v16753		0
v16871		0
v17049		0
v17424		0
v17480		0
v17504		0
v17700		0
v17740		0
v17762		0
v17766		0
v17864		0
v17874		0
v17876		0
v18069		0
v18239		0
v18480		0
v18559		0
v18866		0
v18950		0
v18951		0
v18985		0
v19089		0
v19164		0
v19207		0
v19293		0
v19311		0
v19464		0
v19466		0
v19574		0
v19615		0
v19800		0
v19821		0
v19952		0
v20161		0
v20186		0
v20241		0
v20650		0
v20860		0
v20930		0
v20939		0
v21009		0
v21069		0
v21355		0
v21382		0
v21383		0
v21627		0
v21938		0
v22051		0
v22162		0
v22171		0
v22194		0
v22496		0
v22520		0
v22522		0
v22575		0
v22653		0
v22697		0
v22702		0
v22732		0
v22771		0
v22853		0
v23044		0
v23179		0
v23268		0
v23377		0
v23432		0
v23539		0
v23898		0
v23965		0
v24032		0
v24157		0
v24465		0
v24595		0
v24627		0
v24719		0
v24743		0
v25027		0
v25084		0
v25087		0
v25217		0
v25293		0
v25523		0
v25661		0
v25685		0
v25715		0
v25958		0
v26171		0
v26225		0
v26469		0
v26476		0
v26514		0
v26547		0
v26683		0
v26745		0
v26892		0
v27054		0
v27140		0
v27203		0
v27210		0
v27414		0
v27591		0
v27604		0
v27717		0
v27956		0
v28103		0
v28119		0
v28324		0
v28335		0
v28462		0
v28516		0
v28524		0
v28745		0
v28753		0
v28854		0
v28937		0
v29013		0
v29022		0
v29048		0
v29267		0
v29481		0
v29568		0
v29591		0
v29628		0
v29756		0
v29811		0
v29820		0
v29837		0
v29949		0
v30090		0
v30439		0
v30476		0
v30677		0
v30816		0
v30823		0
v30829		0
v30895		0
v31198		0
v31258		0
v31366		0
v31391		0
v31810		0
v31953		0
v32114		0
v32222		0
v32226		0
v32294		0
v32315		0
v32536		0
v32792		0
v32796		0
v32843		0
v32864		0
v32997		0
v33115		0
v33142		0
v33158		0
v33303		0
v33702		0
v33855		0
v33988		0
v34313		0
v34395		0
v34568		0
v34649		0
v34828		0
v34849		0
v34984		0
v35076		0
v35152		0
v35157		0
v35420		0
v35526		0
v35643		0
v35765		0
v35996		0
v36039		0
v36077		0
v36267		0
v36330		0
v36506		0
v36535		0
v36648		0
v36656		0
v36657		0
v36670		0
v36738		0
v36948		0
v36965		0
v36968		0
v36994		0
v37114		0
v37272		0
v37290		0
v37369		0
v37417		0
v37473		0
v37482		0
v37505		0
v37733		0
v37761		0
v37908		0
v38033		0
v38057		0
v38067		0
v38144		0
v38301		0
v38313		0
v38491		0
v38601		0
v38626		0
v39048		0
v39421		0
v39815		0
v39905		0
v39914		0
v39945		0
v39966	52.68	1
v40037		0
v40103		0
v40155		0
v40202		0
v40263		0
v40293		0
v40597		0
v40695		0
v41213		0
v41241		0
v41330		0
v41341		0
v41406		0
v41408		0
v41470		0
v41618		0
v41631		0
v41690		0
v41767		0
v41836		0
v41931		0
v42012		0
v42186		0
v42215		0
v42228		0
v42406		0
v42504		0
v42612		0
v42636		0
v42662		0
v42888		0
v42985		0
v43252		0
v43292		0
v43319		0
v43372		0
v43464		0
v43549		0
v43554		0
v43751		0
v43810		0
v43857		0
v43904		0
v44166		0
v44319		0
v44408		0
v44452		0
v44493		0
v44649		0
v44821		0
v45013		0
v45037		0
v45055		0
v45105		0
v45150		0
v45221		0
v45275		0
v45351		0
v45487		0
v45494		0
v45558		0
v45571		0
v45693		0
v45708		0
v45740		0
v45746		0
v45798		0
v45808		0
v45925		0
v45982		0
v46029		0
v46031		0
v46039		0
v46137		0
v46180		0
v46200		0
v46270		0
v46324		0
v46492		0
v46509	22.93	1
v46801		0
v46811		0
v46917		0
v46933		0
v46942		0
v46944		0
v47072		0
v47163		0
v47185		0
v47190		0
v47291		0
v47298		0
v47392		0
v47465		0
v47596	55.11	1
v47612		0
v47619		0
v47627		0
v48038		0
v48148		0
v48285		0
v48440		0
v48988		0
v49172		0
v49808		0
v49846		0
v49847		0
v49978		0
v50279		0
v50338		0
v50437		0
v50622		0
v50705		0
v50802		0
v51206		0
v51401		0
v51458		0
v51845		0
v51919		0
v51989		0
v52150		0
v52219		0
v52241		0
v52330		0
v52534		0
v52861		0
v52913		0
v53223		0
v53315		0
v53403		0
v53835		0
v53870		0
v54353	26.93	1
v54426		0
v54623		0
v54949		0
v55102		0
v55424		0
v55665		0
v55731		0
v55968		0
v56062		0
v56412		0
v56458		0
v56491		0
v56594		0
v56744		0
v57106		0
v57155		0
v57206		0
v57484		0
v57704		0
v57815		0
v57853		0
v57947		0
v57968		0
v58540		0
v58613		0
v58834		0
v58896		0
v58918		0
v58959		0
v58967		0
v59173		0
v59230		0
v59701		0
v59938		0
v59990		0
v60220		0
v60257		0
v60384		0
v60841		0
v61103		0
v61104		0
v61157		0
v61361		0
v61575		0
v61598		0
v61762		0
v62054		0
v62067		0
v62166		0
v62214		0
v62287		0
v62310		0
v62311		0
v62317		0
v62501		0
v62503		0
v62790		0
v62905		0
v63374		0
v63482		0
v63564		0
v63703		0
v63728		0
v63750		0
v63827		0
v63874		0
v63879		0
v63962		0
v64168		0
v64266		0
v64351		0
v64446		0
v64577		0
v64675		0
v64819		0
v64832		0
v65121		0
v65184		0
v65197		0
v65230		0
v65358		0
v65568		0
v65584		0
v65656		0
v65782		0
v65880		0
v66127		0
v66234		0
v66385		0
v66401		0
v66462		0
v66601		0
v66603		0
v66654		0
v66657		0
v66682		0
v66732		0
v66780		0
v66871		0
v66926		0
v67103		0
v67131		0
v67308		0
v67368		0
v67375		0
v67414		0
v67741		0
v67762		0
v67862		0
v68000		0
v68013		0
v68310		0
v68332		0
v68483		0
v68525		0
v68541		0
v68577		0
v68591		0
v68714		0
v68748		0
v68753		0
v68761		0
v68827		0
v68974		0
v69062		0
v69137		0
v69284		0
v69319		0
v69336		0
v69366		0
v69528		0
v69588		0
v69655		0
v69953		0
v70010		0
v70033		0
v70066		0
v70262		0
v70377		0
v70560		0
v70619		0
v70622		0
v70715		0
v70756		0
v70793		0
v70847		0
v71004		0
v71094		0
v71103		0
v71248		0
v71375		0
v71559		0
v71617		0
v71696		0
v71933		0
v72050		0
v72419		0
v72472		0
v72586		0
v72663		0
v72678		0
v72723		0
v72809		0
v72904		0
v73057		0
v73084		0
v73297		0
v73335		0
v73501		0
v73572		0
v73631		0
v73640		0
v73690		0
v73791		0
v74028		0
v74148		0
v74282		0
v74440		0
v74445		0
v74493		0
v74543		0
v74565	50.08	1
v74603		0
v74609		0
v74715		0
v74757		0
v74816		0
v75030		0
v75046		0
v75098		0
v75116		0
v75138		0
v75148		0
v75156		0
v75252		0
v75394		0
v75441		0
v75483		0
v75490		0
v75564		0
v75615		0
v75659		0
v75664		0
v75677		0
v75692		0
v75743		0
v75744		0
v76000		0
v76169		0
v76480		0
v76500		0
v76516		0
v76535		0
v76658		0
v76686		0
v76920		0
v77131		0
v77233		0
v77380		0
v77406		0
v77416		0
v77460		0
v77786		0
v77971		0
v78066		0
v78083		0
v78092		0
v78097		0
v78121		0
v78211		0
v78436		0
v78537		0
v78740		0
v79321		0
v79405		0
v79438		0
v79613		0
v80072		0
v80122		0
v80149		0
v80726		0
v80899		0
v80904		0
v80921		0
v80946		0
v80957		0
v81242		0
v81435		0
v81532		0
v81599		0
v81616		0
v81717		0
v81725		0
v81782		0
v81938		0
v81944		0
v82308		0
v82331		0
v82406		0
v82586		0
v82619		0
