visit_id	revisit_interval	revisit_intention
v2		0
v48	3.81	1
v49		0
v94	80.1	1
v95		0
v182	36.1	1
v183	70.68	1
v184	32.41	1
v185		0
v277	0.92	1
v278	1.93	1
v279	1.1	1
v280	3.06	1
v281	7.03	1
v282	15.9	1
v283		0
v284		0
v424	0.8	1
v425	9.3	1
v426	58.03	1
v427	3.06	1
v428		0
v463		0
v599	176.1	1
v600		0
v746	9.88	1
v747	90.9	1
v748	16.09	1
v749	18.89	1
v750	11.19	1
v751	44.76	1
v752	20.95	1
v753		0
v917		0
v1047	3.57	1
v1048	1.39	1
v1049		0
v1099	2.77	1
v1100		0
v1192		0
v1275		0
v1289		0
v1306		0
v1475	0.68	1
v1476		0
v1763		0
v1897	3.03	1
v1898		0
v1992		0
v2043		0
v2052		0
v2055		0
v2059		0
v2067		0
v2074	247.61	1
v2075		0
v2211	209.04	1
v2212		0
v2245		0
v2325		0
v2430	165.0	1
v2431		0
v3038		0
v3061	33.01	1
v3062		0
v3082	12.07	1
v3083	41.11	1
v3084	1.9	1
v3085	0.93	1
v3086	9.86	1
v3087	51.18	1
v3088	17.73	1
v3089	8.33	1
v3090	3.02	1
v3091	12.98	1
v3092	4.9	1
v3093	2.9	1
v3094	33.0	1
v3095	9.14	1
v3096	42.98	1
v3097	10.04	1
v3098		0
v3151		0
v3221		0
v3320		0
v3547		0
v3744		0
v3817		0
v3920	1.9	1
v3921		0
v3937		0
v4170	1.0	1
v4171	0.97	1
v4172	0.73	1
v4173		0
v4231	15.32	1
v4232	21.88	1
v4233	56.06	1
v4234	0.63	1
v4235	3.4	1
v4236	123.82	1
v4237		0
v4243	51.87	1
v4244		0
v4286	31.93	1
v4287		0
v4414		0
v4852		0
v4900		0
v5020		0
v5106		0
v5295		0
v5302		0
v5398	0.94	1
v5399	1.05	1
v5400		0
v5476		0
v5666	1.02	1
v5667	73.4	1
v5668		0
v5757		0
v5870	0.96	1
v5871	0.12	1
v5872	58.63	1
v5873		0
v6004	50.89	1
v6005		0
v6030		0
v6246		0
v6254	136.97	1
v6255	55.0	1
v6256	3.99	1
v6257	39.97	1
v6258		0
v6289	2.64	1
v6290		0
v6403	1.04	1
v6404		0
v6406		0
v6709		0
v6796	55.18	1
v6797		0
v6916		0
v6936		0
v7001		0
v7007	105.81	1
v7008		0
v7594		0
v7653		0
v7920	0.93	1
v7921	4.18	1
v7922		0
v7935	30.84	1
v7936	2.19	1
v7937	77.75	1
v7938		0
v8055		0
v8196		0
v8390		0
v8428	9.7	1
v8429	0.95	1
v8430	4.01	1
v8431	1.08	1
v8432	31.16	1
v8433	0.94	1
v8434	1.77	1
v8435	0.99	1
v8436	30.23	1
v8437		0
v8442	66.56	1
v8443		0
v8500		0
v8590		0
v8609		0
v8630	13.82	1
v8631	43.21	1
v8632	89.88	1
v8633	2.03	1
v8634	43.09	1
v8635	5.82	1
v8636	2.8	1
v8637		0
v8657	6.03	1
v8658		0
v8670	42.99	1
v8671	26.08	1
v8672	13.79	1
v8673	50.97	1
v8674		0
v8719		0
v8771		0
v8928		0
v8949	4.72	1
v8950		0
v9292		0
v9566	3.0	1
v9567	7.24	1
v9568	21.75	1
v9569	112.02	1
v9570	21.0	1
v9571	27.17	1
v9572		0
v9613		0
v9647		0
v9878		0
v9901		0
v9925	78.04	1
v9926		0
v9949	5.69	1
v9950		0
v9956	41.07	1
v9957	56.91	1
v9958		0
v10030	0.92	1
v10031	3.11	1
v10032	36.92	1
v10033	27.73	1
v10034	3.18	1
v10035	14.98	1
v10036	5.69	1
v10037	53.47	1
v10038	13.57	1
v10039	23.26	1
v10040		0
v10274	147.0	1
v10275		0
v10309	89.99	1
v10310	2.76	1
v10311	0.95	1
v10312	23.6	1
v10313		0
v10505	2.57	1
v10506	2.92	1
v10507	31.5	1
v10508		0
v10558		0
v10759	12.32	1
v10760	0.88	1
v10761	30.91	1
v10762	229.72	1
v10763		0
v10800	28.05	1
v10801	111.01	1
v10802		0
v10826	5.25	1
v10827		0
v11044		0
v11260		0
v11437		0
v11494		0
v11552	4.09	1
v11553	16.55	1
v11554		0
v11614	55.76	1
v11615		0
v11639		0
v11667		0
v11696		0
v11814		0
v11865		0
v12010		0
v12080		0
v12149	9.13	1
v12150	3.91	1
v12151	23.76	1
v12152	11.09	1
v12153	2.0	1
v12154	11.96	1
v12155		0
v12216	16.78	1
v12217		0
v12401		0
v12420	1.02	1
v12421		0
v12435	0.92	1
v12436	73.96	1
v12437		0
v12453		0
v12489		0
v12653	41.13	1
v12654	87.69	1
v12655		0
v12701		0
v12819		0
v12931	1.04	1
v12932		0
v12994	34.8	1
v12995		0
v13144		0
v13146		0
v13188	3.09	1
v13189	57.2	1
v13190	4.68	1
v13191	7.89	1
v13192	1.09	1
v13193	103.88	1
v13194	11.06	1
v13195	6.0	1
v13196	11.76	1
v13197	2.0	1
v13198	0.89	1
v13199	12.33	1
v13200		0
v13318	12.34	1
v13319		0
v13329	3.19	1
v13330		0
v13333	2.06	1
v13334	0.63	1
v13335	58.36	1
v13336	20.74	1
v13337	54.02	1
v13338		0
v13362		0
v13444		0
v13565		0
v13659		0
v13697		0
v13830		0
v13862		0
v13879		0
v14065	49.0	1
v14066		0
v14202	7.97	1
v14203		0
v14402	7.77	1
v14403		0
v14487	32.79	1
v14488	15.85	1
v14489	44.0	1
v14490	15.63	1
v14491	78.96	1
v14492		0
v14688		0
v14713	1.74	1
v14714		0
v14801	69.26	1
v14802		0
v14806		0
v14928		0
v15213	7.96	1
v15214		0
v15326		0
v15420	10.09	1
v15421	25.81	1
v15422	3.4	1
v15423	11.91	1
v15424	183.73	1
v15425	2.22	1
v15426	15.75	1
v15427	1.02	1
v15428		0
v15469	13.1	1
v15470		0
v15551		0
v15632		0
v15658	3.85	1
v15659	0.97	1
v15660		0
v15817	1.94	1
v15818		0
v15918		0
v15926		0
v16165		0
v16180		0
v16245	101.07	1
v16246	27.95	1
v16247	65.9	1
v16248		0
