visit_id	wifi_id	date	indices
v2	2	17223	444361;444464;444473;444515;444561;444577;444578;444695
v48	33	17222	436957
v49	33	17226	466467;466582;466647;466695
v94	52	17215	361845;361849
v95	52	17295	886535
v182	98	17175	74168;74205;74219;74247;74273;74274;74325;74417;74424;74426
v183	98	17211	333211;333215;333254;333258;333515;333526;333698;333721;333739;333746;333781;333805;333837;333877;333897;333899;333918;333927;333972;334039;334048
v184	98	17282	819173
v185	98	17314	985517;985629
v277	121	17176	83334;83335;83336;83337;83341;83342;83351;83358;83366;83403;83404;83408;83461;83478;83481;83572;83624
v278	121	17177	90437;90438;90440;90442;90449;90473;90606;90608;90609;90613
v279	121	17179	106756;106758;106762;106765;106767;106782;106783;106790;106793;106832;106848;106864;106873;106881;106883;106884;106893;106894;106925;106926;106927;106928;106935;106936
v280	121	17180	116839;116840;116868;116914;116916;116923;116924;116927;116961;117012;117057
v281	121	17183	142697;142698;142702;142704;142725;142733;142741;142743;142745;142748;142764;142765
v282	121	17190	185916;185923;185926;185936;185938;185939;185941
v283	121	17206	286838;286841;286842;286843;286847;286858;286861;286872;286874;286885;286904;286911;286921;286925;286926;286932;286933;286937
v284	122	17190	184856;184906;184993;184998;185055;185056;185057
v424	177	17355	1215094;1215095;1215102;1215105;1215112;1215115;1215192;1215193;1215211;1215217;1215219;1215220;1216935;1216940;1216949;1216952
v425	177	17356	1221356;1221357;1221359;1221363;1221367;1221385
v426	177	17365	1270636;1270637;1270642;1270646;1270652;1270654;1270657
v427	177	17423	1578590;1578598;1578601;1578603;1578604;1578606;1578608;1578610;1578611;1578612;1578613;1578614;1578617;1578734;1578736;1578737;1578741;1578777;1578789;1578809
v428	177	17426	1597841;1597896;1597897;1597902;1597904;1597910;1597918;1597920;1597921;1597930
v463	191	17241	588982;589002;589003;589009;589012;589052;589053;589169;589171
v599	259	17183	141386;141559
v600	259	17359	1237572;1237578;1237610;1237625;1237649;1237685;1237697;1237744;1237760
v746	333	17237	558617;558634;558812;558819;559108;559271;559295
v747	333	17247	621110;621131;621162;621488;621491;621492;621493;621494
v748	333	17338	1122503
v749	333	17354	1209564;1209571;1210114;1210116;1210117
v750	333	17373	1305802;1306112;1306498
v751	333	17384	1361651
v752	333	17429	1610215;1610265;1610458
v753	333	17450	1717705;1717708;1717709;1717713;1717735;1717738;1717740;1717741;1717773;1717777;1717782
v917	411	17203	262224;262226;262239;262246;262285;262295;262306;262371;262373;262408;262445;262469;262471;262472;262484;262485
v1047	454	17215	368936
v1048	454	17219	399988;400106;400266;400290;400335;400344;400388
v1049	454	17220	416198
v1099	483	17207	294607;294610;294703;294713;294741;294775;294776;294794
v1100	483	17210	319813;319825;319828;319868;319880;319928;319930;319941;319953;319955;319974;319977
v1192	518	17207	295209;295210;295212;295214;295225;295238;295276
v1275	574	17440	1670327;1670328;1670329;1670348;1670349;1670353;1670354;1670355;1670358;1670361;1670368;1670511;1670513;1670519;1670528;1670537;1670541;1670542;1670544;1670546;1670616;1670623;1670625;1670626;1670627;1670628
v1289	581	17335	1111578;1111580;1111592;1111603;1111674;1111805;1111810;1111817;1111915
v1306	591	17178	103146;103149;103151;103166;103170;103181;103208;103227;103231;103238;103328;103332
v1475	665	17226	469215
v1476	665	17227	471797
v1763	801	17230	502661;502676;502677
v1897	860	17192	193869
v1898	860	17195	208732;209461;209506;209525
v1992	894	17406	1478403;1478440;1478506;1478546;1478550;1478577;1478601;1478775;1478791;1478806;1478809;1478812;1478814;1478825
v2043	920	17186	160448;160453;160459;160490;160498;160499;160955
v2052	926	17318	1006254;1006258;1006264;1006314;1006341;1006350;1006400;1006406;1006472;1006492;1006663;1006695;1006699;1006764
