index	wifi_id	ts	area	dwell_time
18	15429	1483225549	out	42
31	15429	1483227756	out	63
61	34383	1483229743	out	19
189	21757	1483234479	out	44
349	34383	1483236100	out	612
595	47392	1483239258	out	772
666	6600	1483239747	out	81
698	47392	1483239935	in	94
699	47392	1483239935	2f	9
1018	20193	1483242374	out	14
1054	3694	1483242632	out	32
1163	20193	1483243350	out	492
1168	20193	1483243377	1f-enter	424
1169	20193	1483243377	1f	427
1170	20193	1483243377	in	427
1171	20193	1483243378	1f-must	421
1172	20193	1483243389	1f-promo	404
1183	20193	1483243439	1f-facial	13
1189	20193	1483243465	1f-beauty-tools	57
1198	20193	1483243494	1f-makeup	44
1200	20193	1483243556	1f-nailstudio	44
1207	20193	1483243608	1f-getitbeauty	14
1214	20193	1483243705	1f-perfume	73
1349	47392	1483244510	out	686
1356	47392	1483244559	in	637
1357	47392	1483244559	1f	637
1362	47392	1483244583	1f-getitbeauty	30
1441	47392	1483244883	1f-promo	116
1442	47392	1483244888	New-1f-natural	78
2118	6600	1483247858	out	10
2361	10725	1483248818	out	86
2485	16754	1483249344	out	2242
2673	16754	1483250245	in	233
2674	16754	1483250245	1f	233
2676	16754	1483250246	1f-enter	233
2677	16754	1483250246	1f-promo	75
2682	16754	1483250252	1f-must	224
2726	16754	1483250416	1f-nailstudio	21
2730	17551	1483250439	out	25
2781	21757	1483250655	out	23
2783	9485	1483250659	out	316
3325	48834	1483253015	out	656
3326	48834	1483253016	in	655
3327	48834	1483253016	1f-must	655
3328	48834	1483253016	1f	655
3330	48834	1483253029	New-1f-natural	90
3332	48834	1483253036	1f-promo	635
3407	48834	1483253390	1f-enter	280
3419	16588	1483253452	out	634
3420	48834	1483253474	1f-display	197
3427	16588	1483253501	in	585
3428	16588	1483253501	1f	585
3431	16588	1483253505	1f-enter	519
3432	16588	1483253506	1f-must	519
3433	16588	1483253506	1f-promo	520
3434	16588	1483253506	1f-display	519
3440	16588	1483253530	New-1f-natural	124
3453	48834	1483253571	1f-dermo-cosmetic	26
3475	16588	1483253633	1f-perfume	28
3476	16588	1483253633	1f-getitbeauty	86
3488	16588	1483253661	2f	101
3516	16588	1483253720	1f-nailstudio	59
3517	16588	1483253720	1f-makeup	42
3528	16588	1483253750	1f-facial	70
3529	16588	1483253750	1f-beauty-tools	61
3530	16588	1483253750	1f-counter	13
3602	31097	1483253966	out	94
4306	31097	1483256933	out	120
4331	16537	1483257036	out	12
4704	48834	1483258597	out	45
4857	35382	1483259695	out	3681
4873	35382	1483259744	in	3600
4874	35382	1483259744	1f	390
4968	35382	1483260170	2f	2356
4969	35382	1483260170	2f-cafe	2029
4978	35382	1483260207	2f-texfree	223
4979	35382	1483260209	new-2f-food	245
4999	35382	1483260239	2f-counter	217
5018	7930	1483260360	out	151
5198	35382	1483261505	2f-counter	683
5349	35382	1483262124	new-2f-food	84
5363	35382	1483262187	2f-texfree	38
5365	35382	1483262192	2f-healt-care	312
5370	35382	1483262211	2f-femine-care	304
5377	35382	1483262254	2f-body-care	36
5381	35382	1483262267	2f-enter	23
5387	35382	1483262280	2f-hair-care	211
5389	35382	1483262281	1f	1064
5393	35382	1483262290	2f-xtm	207
5394	35382	1483262292	2f-hairstudio	182
5395	35382	1483262295	2f-favorite	185
5432	2968	1483262501	out	1830
5434	2968	1483262507	in	2349
5435	2968	1483262507	1f	1263
5436	35382	1483262509	1f-facial-inner	19
5437	35382	1483262514	1f-perfume	25
5438	35382	1483262515	1f-promo	75
5440	35382	1483262526	New-1f-natural	15
5449	35382	1483262547	1f-enter	794
5451	35382	1483262550	1f-must	794
5460	35382	1483262581	1f-display	11
5562	48141	1483263081	out	830
5563	48141	1483263084	in	827
5564	48141	1483263084	2f	782
5565	48141	1483263085	2f-femine-care	392
5590	48141	1483263204	new-2f-food	459
5591	48141	1483263204	2f-texfree	662
5712	48141	1483263645	2f-counter	205
5715	48141	1483263648	2f-cafe	134
5781	2968	1483263870	2f	986
5789	48141	1483263899	1f	13
5816	2968	1483263996	2f-hair-care	11
6100	2968	1483265134	out	16
6325	5945	1483265763	out	964
