visit_id	revisit_interval	revisit_intention
v76	170.97	1
v123		0
v209		0
v272		0
v379		0
v394		0
v480		0
v543		0
v572	97.76	1
v620		0
v623		0
v716		0
v847		0
v925		0
v938		0
v950	246.03	1
v958		0
v1226		0
v1260		0
v1331		0
v1382		0
v1414	91.91	1
v1455		0
v1503		0
v1696		0
v1744		0
v1846		0
v1932		0
v1961		0
v2038		0
v2109		0
v2111	156.27	1
v2148		0
v2183	97.98	1
v2184		0
v2215		0
v2265	172.05	1
v2291		0
v2327		0
v2430		0
v2436		0
v2443		0
v2624		0
v2633	233.04	1
v2720		0
v2759		0
v2784		0
v2828	136.88	1
v2864		0
v2946		0
v2951		0
v2991		0
v3093		0
v3094		0
v3338		0
v3475		0
v3546	60.06	1
v3606		0
v3637		0
v3649		0
v3662		0
v3664		0
v3699		0
v3738		0
v3765		0
v3841		0
v3979		0
v4019		0
v4066		0
v4138		0
v4200		0
v4228		0
v4229		0
v4408		0
v4447		0
v4460		0
v4535		0
v4551	91.92	1
v4624		0
v4669		0
v4776		0
v4795		0
v4993		0
v5064		0
v5092		0
v5135		0
v5139		0
v5160		0
v5290		0
v5377		0
v5496		0
v5533		0
v5547		0
v5575		0
v5634		0
v5653		0
v5724		0
v5743		0
v5753		0
v5769		0
v5826		0
v6026		0
v6161		0
v6274		0
v6293	141.76	1
v6417	71.94	1
v6620		0
v6691		0
v6792		0
v6794	164.96	1
v6845		0
v6983		0
v7034		0
v7073		0
v7089		0
v7119		0
v7215		0
v7224	216.96	1
v7258	126.92	1
v7353		0
v7459		0
v7524	39.13	1
v7626		0
v7677		0
v7731		0
v7741		0
v7749		0
v7756		0
v7771	158.81	1
v7796		0
v7828	6.99	1
v7900		0
v8040		0
v8067		0
v8129		0
v8210		0
v8276		0
v8358	98.87	1
v8401		0
v8641		0
v8655		0
v8661		0
v8676		0
v8715		0
v8781		0
v8845	187.98	1
v8856		0
v8881		0
v8920		0
v8950		0
v8969		0
v8992		0
v9199		0
v9215		0
v9221	47.04	1
v9264		0
v9395		0
v9471		0
v9502		0
v9517		0
v9536		0
v9578		0
v9629		0
v9652		0
v9674		0
v9701		0
v9702		0
v9715	25.17	1
v9840		0
v9849		0
v9905		0
v9947		0
v10122		0
v10134		0
v10146		0
v10377		0
v10640		0
v10658		0
v10698		0
v10717		0
v10863		0
v10889		0
v10991		0
v11160		0
v11277		0
v11314		0
v11378		0
v11413		0
v11433		0
v11479		0
v11482		0
v11500		0
