visit_id	revisit_interval	revisit_intention
v76		0
v123		0
v209		0
v272		0
v379		0
v394		0
v480		0
v543		0
v571	85.96	1
v572		0
v620		0
v623		0
v716		0
v847		0
v925		0
v935	14.88	1
v936	57.1	1
v937	15.01	1
v938		0
v950		0
v958		0
v1226		0
v1260		0
v1331		0
v1382		0
v1412	43.13	1
v1413	32.01	1
v1414		0
v1455		0
v1503		0
v1696		0
v1744		0
v1846		0
v1932		0
v1961		0
v2038		0
v2109		0
v2111		0
v2148		0
v2183		0
v2184		0
v2215		0
v2265		0
v2291		0
v2327		0
v2430		0
v2436		0
v2442	1.56	1
v2443		0
v2624		0
v2632	15.68	1
v2633		0
v2719	1.97	1
v2720		0
v2759		0
v2783	49.65	1
v2784		0
v2828		0
v2864		0
v2946		0
v2951		0
v2991		0
v3093		0
v3094		0
v3338		0
v3475		0
v3545	60.91	1
v3546		0
v3606		0
v3637		0
v3649		0
v3662		0
v3664		0
v3699		0
v3738		0
v3765		0
v3841		0
v3979		0
v4019		0
v4066		0
v4138		0
v4200		0
v4228		0
v4229		0
v4408		0
v4447		0
v4460		0
v4535		0
v4551		0
v4623	91.83	1
v4624		0
v4669		0
v4776		0
v4795		0
v4993		0
v5064		0
v5092		0
v5135		0
v5139		0
v5160		0
v5290		0
v5377		0
v5496		0
v5532	6.21	1
v5533		0
v5547		0
v5575		0
v5634		0
v5652	83.15	1
v5653		0
v5724		0
v5743		0
v5753		0
v5769		0
v5826		0
v6026		0
v6161		0
v6273	42.9	1
v6274		0
v6291	14.0	1
v6292	100.05	1
v6293		0
v6416	147.82	1
v6417		0
v6619	111.85	1
v6620		0
v6690	15.03	1
v6691		0
v6792		0
v6794		0
v6845		0
v6983		0
v7034		0
v7073		0
v7089		0
v7119		0
v7215		0
v7224		0
v7256	16.94	1
v7257	151.16	1
v7258		0
v7353		0
v7459		0
v7524		0
v7626		0
v7677		0
v7730	4.94	1
v7731		0
v7741		0
v7749		0
v7756		0
v7771		0
v7796		0
v7827	77.79	1
v7828		0
v7900		0
v8039	5.22	1
v8040		0
v8067		0
v8129		0
v8210		0
v8276		0
v8354	1.95	1
v8355	20.92	1
v8356	7.01	1
v8357	2.08	1
v8358		0
v8401		0
v8641		0
v8655		0
v8661		0
v8676		0
v8715		0
v8781		0
v8845		0
v8855	57.15	1
v8856		0
v8881		0
v8920		0
v8950		0
v8969		0
v8992		0
v9199		0
v9215		0
v9221		0
v9264		0
v9395		0
v9471		0
v9502		0
v9517		0
v9535	28.07	1
v9536		0
v9578		0
v9629		0
v9652		0
v9674		0
v9701		0
v9702		0
v9715		0
v9840		0
v9849		0
v9903	2.05	1
v9904	9.03	1
v9905		0
v9946	31.96	1
v9947		0
v10122		0
v10134		0
v10145	34.33	1
v10146		0
v10377		0
v10640		0
v10658		0
v10698		0
v10717		0
v10863		0
v10889		0
v10991		0
v11159	7.04	1
v11160		0
v11277		0
v11314		0
v11378		0
v11413		0
v11433		0
v11479		0
v11482		0
v11500		0
v11517	15.01	1
v11518	4.03	1
v11519		0
v11560	82.98	1
v11561	5.0	1
v11562		0
v11570		0
v11572		0
v11708		0
v11723		0
v11756	18.97	1
v11757	23.72	1
v11758	17.26	1
v11759	10.0	1
v11760	5.99	1
v11761	25.11	1
v11762	2.59	1
v11763	1.2	1
v11764	11.9	1
v11765	13.77	1
v11766		0
v11864	8.96	1
v11865	5.98	1
v11866	0.93	1
v11867	48.97	1
v11868	42.01	1
v11869	16.01	1
v11870		0
v11907		0
v11948	1.0	1
v11949	55.99	1
v11950		0
v11960	7.02	1
v11961		0
v11968		0
v11971		0
v11988		0
v12068		0
v12260		0
v12298	125.97	1
v12299		0
v12314		0
v12320		0
v12326		0
v12342		0
v12422	40.96	1
v12423	34.99	1
v12424	53.75	1
v12425		0
v12522	23.05	1
v12523	17.04	1
v12524	50.89	1
v12525		0
v12677		0
v12741		0
v13090		0
v13165		0
v13435		0
v13807		0
v13848		0
v13956		0
v14007		0
v14016		0
v14265		0
v14288		0
v14346		0
v14443		0
v14484	16.7	1
v14485		0
v14536	15.79	1
v14537	48.08	1
v14538		0
v14640		0
v14671		0
v14684		0
v14840		0
v15065		0
v15073		0
v15157		0
v15181		0
v15297		0
v15322		0
v15394		0
v15462		0
v15511		0
v15536		0
v15574		0
v15590		0
v15684		0
v15757		0
v15796		0
v15902		0
v15930		0
v15985		0
v16076		0
v16214		0
v16519		0
v16812		0
v16922		0
v16930		0
v16941		0
v16946	37.92	1
v16947	28.11	1
v16948		0
v16984		0
v17001	14.92	1
v17002		0
v17076		0
v17172		0
v17259		0
v17342		0
v17414		0
v17462		0
v17551		0
v17597		0
v17600	25.05	1
v17601		0
v17603	4.89	1
v17604	16.2	1
v17605	5.92	1
v17606		0
v17689		0
v17726		0
v17750		0
v17817		0
v17833		0
v17849		0
v17891		0
v17927		0
v17947		0
v17959		0
v18017		0
v18060	32.02	1
v18061	34.95	1
v18062		0
v18173		0
v18216		0
v18319	27.14	1
v18320		0
v18332		0
v18418		0
v18423		0
v18499		0
v18563		0
v18751		0
v18789	32.07	1
v18790		0
v18848		0
v18921	20.9	1
v18922		0
v18946		0
v18959		0
v18996		0
v19003		0
v19071		0
v19189		0
v19213		0
v19220		0
v19262		0
v19504		0
v19509		0
v19530		0
v19634		0
v19669		0
v19689		0
v19729		0
v19800		0
v19885		0
v19895		0
v19981		0
v20055		0
v20123		0
v20164	3.15	1
v20165		0
v20191		0
v20373		0
v20417		0
v20520		0
v20533		0
v20618		0
v20643		0
v20745		0
v20853	39.02	1
v20854		0
v20898		0
v20960		0
v20973		0
v21059	25.01	1
v21060		0
v21128		0
v21198		0
v21230		0
v21268		0
v21350	4.11	1
v21351	1.01	1
v21352	29.88	1
v21353		0
v21403	16.17	1
v21404		0
v21427		0
v21438		0
v21476		0
v21477		0
v21511		0
v21743		0
v21866		0
v21919	14.93	1
v21920		0
v21956		0
v21962		0
v22009		0
v22015		0
v22088		0
v22218	31.2	1
v22219	2.88	1
v22220		0
v22240		0
v22263		0
v22279		0
v22375		0
v22400		0
v22481		0
v22496		0
v22563		0
v22594		0
v22881		0
v22921	0.79	1
v22922		0
v22995		0
v23092		0
v23125		0
v23131		0
v23184		0
v23223	2.01	1
v23224		0
v23344		0
v23447	118.98	1
v23448		0
v23457		0
v23477		0
v23553		0
v23565		0
v23626		0
v23653		0
v23821		0
v23867		0
v23939		0
v23940		0
v23947		0
v23981		0
v24082	136.06	1
v24083		0
v24086		0
v24131		0
v24185		0
v24207		0
v24210		0
v24318		0
v24386		0
v24415		0
v24527		0
v24623	12.25	1
v24624	0.98	1
v24625		0
v24707		0
v24726		0
v24733		0
v24798		0
v24855	13.0	1
v24856		0
v24924		0
v25021		0
v25049		0
v25057		0
v25063		0
v25123		0
v25172		0
v25199		0
v25205		0
v25268		0
v25339		0
v25347		0
v25380		0
v25477		0
v25499		0
v25507		0
v25650		0
v25682		0
v25728		0
v25755	90.83	1
v25756		0
v25809		0
v25835		0
v25838		0
v25883		0
v25954		0
v25972		0
v25992		0
v26095		0
v26318		0
v26336		0
v26358		0
v26401		0
v26443		0
v26451		0
v26456		0
v26491		0
v26519		0
v26601		0
v26669		0
v26795		0
v26839		0
v26843		0
v26892		0
v26957		0
v26964		0
v26980	91.02	1
v26981		0
v27018		0
v27137		0
v27140		0
v27200		0
v27252		0
v27255		0
v27283		0
v27297		0
v27371		0
v27422		0
v27457		0
v27521		0
v27550		0
v27679		0
v27808		0
v27903	10.93	1
v27904	9.07	1
v27905	0.98	1
v27906		0
v27914		0
v27972		0
v27976		0
v28021		0
v28126		0
v28397		0
v28452		0
v28453	1.01	1
v28454	6.03	1
v28455		0
v28536		0
v28543		0
v28565	12.71	1
v28566	78.32	1
v28567	12.64	1
v28568	4.35	1
v28569	9.96	1
v28570		0
v28606		0
v28661		0
v28670		0
v28750		0
v28760		0
v28816	36.01	1
v28817		0
v28831	83.13	1
v28832	28.88	1
v28833		0
v28847		0
v28968		0
v28987		0
v29210		0
v29212		0
v29229		0
v29248		0
v29283		0
v29382		0
v29449		0
v29457		0
v29486		0
v29517		0
v29599		0
v29767		0
v29784		0
v29815		0
v29894		0
v29960		0
v30030		0
v30282		0
v30322		0
v30400		0
v30413		0
v30444		0
v30483		0
v30597		0
v30716		0
v30799		0
v30830	20.88	1
v30831	3.01	1
v30832	27.12	1
v30833	4.88	1
v30834	1.98	1
v30835	8.01	1
v30836	7.98	1
v30837	7.0	1
v30838	3.99	1
v30839	16.11	1
v30840	14.88	1
v30841	7.06	1
v30842	18.99	1
v30843		0
v30892	4.17	1
v30893		0
v31057		0
v31062		0
v31122		0
v31133		0
v31168	45.01	1
v31169		0
v31218		0
v31231		0
v31241		0
v31247		0
v31268		0
v31309		0
v31328		0
v31461		0
v31473		0
v31496	18.8	1
v31497	71.13	1
v31498		0
v31548	0.87	1
v31549		0
v31669	7.68	1
v31670	27.98	1
v31671	2.21	1
v31672		0
v31682		0
v31746		0
v31752		0
v31787		0
v31877		0
v31940		0
v31988		0
v32010	66.64	1
v32011		0
v32020	3.1	1
v32021		0
v32086		0
v32206		0
v32239	25.68	1
v32240	36.99	1
v32241		0
v32279		0
v32285		0
v32343		0
v32444		0
v32492		0
v32675		0
v32706		0
v32734		0
v32752		0
v32799		0
v32837		0
v32915		0
v33076	6.19	1
v33077		0
v33084		0
v33133		0
v33159		0
v33184		0
v33241		0
v33264		0
v33370		0
v33393	6.95	1
v33394		0
v33461	136.96	1
v33462		0
v33528		0
v33601	13.13	1
v33602	60.94	1
v33603	0.86	1
v33604	18.09	1
v33605		0
v33639		0
v33649		0
v33712		0
v33713		0
v33758		0
v33785		0
v33806		0
v33853		0
v33887		0
v33952		0
v33991		0
v34029		0
v34168		0
v34269		0
v34279		0
v34285		0
v34327		0
v34376		0
v34400	16.86	1
v34401		0
v34446		0
v34489		0
v34522	40.03	1
v34523		0
v34545		0
v34573		0
v34690		0
v34993		0
v35103		0
v35158		0
v35159		0
v35242		0
v35299		0
