visit_id	wifi_id	date	indices
v76	98	17263	566010;566011;566014;566016;566018;566028;566030;566031;566037;566042;566058;566060;566067;566069;566077;566085;566101;566189;566194;566197;566199;566219;566222;566228;566229;566238;566242;566796;566799;566800;566801;566803;566804;566806;566810;566813;566815;566817;566830;566831
v123	176	17312	895979;896012;896025;896027
v209	319	17277	650264;650324;650842;650970
v272	424	17194	102978;102980;102983;102984;102988;103004;103009;103014
v379	600	17311	890785;890802;890810;890811;890820;890827;890832;890834
v394	627	17194	102520;102551;102561;102582;102601;102609;102616;102617;102672;102675;102677;102681;102687;102698;102767;102794;102835;102952;103082;103089;103095;103113;103119;103157
v480	762	17333	1055216;1055465;1055509;1055510;1055518;1055823;1055828;1055927;1055956;1056175;1056177;1056316;1056319
v543	857	17246	451965;451975;451976;451978
v571	897	17179	2520;2561
v572	897	17265	579927;579944;579952;580012;580032;580047;580088
v620	965	17330	1025820;1025824;1025829;1025843
v623	967	17306	853018;853020;853022;853024;853025;853027;853043;853044;853045
v716	1116	17299	809176;809182;809194;809196;809202;809203;809205;809211
v847	1281	17352	1178646;1178660;1178670;1178676;1178686;1178709;1178720
v925	1406	17329	1022587;1022592;1022595;1022599;1022602;1022605;1022607;1022625;1022641;1022651;1022671
v935	1422	17261	550779
v936	1422	17276	641667;641673;641921
v937	1422	17333	1052617;1052625;1052872
v938	1422	17348	1143679;1144095;1144212;1144318;1144319;1144348;1144451
v950	1444	17215	252022;252030;252040;252042;252044;252045;252046;252050;252052;252057;252058;252063;252064;252066;252069;252084;252262;252284;252306;252330;252352;252407;252417;252423;252450;252459
v958	1452	17222	302798
v1226	1848	17206	190605;190607;190608
v1260	1903	17330	1025429;1025443;1025447
v1331	2015	17330	1027599
v1382	2080	17193	99958;99987;99991;99996;99998;100021;100034;100125;100219;100331;100333;100334;100345;100348;100369;100374
v1412	2121	17223	306460
v1413	2121	17266	585657;585661;585662;585665;585668;585678;585679;585680;585681;585687;585688
v1414	2121	17298	799769;799790;799794;799795;799797;799799;799805;799817;799821;799826;799833
v1455	2194	17198	135735;135777;135783;135794;135798;135803;135805;135813;135814;135822
v1503	2273	17348	1146932;1146936;1146937;1146943;1146945;1146952;1146953;1146954;1146956;1146957
v1696	2554	17284	694029;694037
v1744	2625	17214	247329;247346
v1846	2769	17204	179790
v1932	2905	17333	1050175;1050177
v1961	2943	17334	1071441;1071459;1071476;1071495;1071499;1071529;1071533;1071556;1071687;1071713;1071719;1071729;1071741;1071778;1071788;1071816;1071835
v2038	3054	17212	236853;236859;236867;236868
v2109	3142	17347	1127825;1127841;1127858;1127900;1127910;1127911;1127916;1127942;1127970;1127984;1128131
v2111	3146	17211	224364;224367;224369;224370;224373;224387;224391
v2148	3200	17207	196157;196164;196185;196190;196216;196217;196218;196234;196254;196259;196260
v2183	3242	17329	1022400
v2184	3244	17255	507705;507726
v2215	3288	17196	116022;116027;116035;116046;116070;116073;116101;116114;116143;116144;116162;116168;116178;116180
v2265	3384	17238	403043;403064;403070;403081
v2291	3413	17355	1206734;1206830;1206845;1206903;1206910;1206923;1207019;1207152;1207190;1207216;1207335;1207359
v2327	3456	17257	526117;526131;526141;526144;526148;526155
v2430	3590	17197	127115;127128;128436;128528;128557;128558;128568;128577;128596;128657;128662;128665;128674
v2436	3598	17232	362888;362894
v2442	3610	17221	296208;296211;296212
v2443	3610	17223	304740;304778;304781;304785;304786;304787;304788;304790;304792;304795
v2624	3874	17332	1037630;1044531;1044546;1044578
v2632	3882	17224	317024;317030;317032;317036;317048;317049;317055;317056;317058;317080
v2633	3882	17240	411068;411080;411082;411083;411088;411101;411102;411108;411121
v2719	4006	17311	891007;891009;891041;891047;891058;891060
v2720	4006	17313	908287;908306;908321;908328;908329;908330;908337;908340;908424;908434;908436
v2759	4078	17305	847183;847212;847213;847214;847216;847217;847221;847234;847235;847242;847245;847246;847247;847248;847250;847266;847267;847268
v2783	4124	17304	843124;843143;843154
v2784	4124	17354	1191604;1191606;1191617;1191636;1191643;1191644;1191650;1191666;1191667;1191702;1191719;1191734;1191737;1191738;1191745;1191751;1191754;1191755
v2828	4175	17249	471433;471467;471508
v2864	4235	17221	294472
v2946	4346	17278	653317
v2951	4353	17264	570250;570323;570326;570349;570499;570527;570551;570609;570617;570636;570637
v2991	4410	17258	531415
v3093	4571	17309	876716;876729;876738;876739;876744;876748;876757;876770;876790;876823;876831;876861;876869;876874;876946;876967;876980;877006;877026;877031;877034;877054
v3094	4574	17214	245789;245826;245855;245865;245905;245993;246035;246048;246049
v3338	4915	17344	1102897;1102934;1102941;1102942;1102944;1102946;1102948
v3475	5095	17333	1053999;1054902;1054904
v3545	5180	17289	741102;741103;741104;741113;741122;741123;741124;741126;741128;741129;741130;741131;741133;741135;741140;741141;741150;741156;741164;741165;741166;741177;741187;741222
v3546	5180	17350	1160786;1160789;1160798;1160810;1160831;1160834;1160847;1160849;1160876;1160902;1160906;1160927;1160942;1160944;1160954;1160964;1160967;1160976;1160979
v3606	5258	17206	193651;193701;193738;193791
v3637	5311	17258	532259;532260;532268
v3649	5325	17348	1146057;1146082;1146096;1146104;1146119;1146291;1146322;1146378;1146382;1146412;1146413
v3662	5349	17192	94233;94250;94253
v3664	5351	17209	216668;216680;216691;216700;216709;216711
v3699	5402	17263	566646;566663
v3738	5455	17347	1133010;1133075
v3765	5491	17223	304824;304829;304830;304831
v3841	5581	17186	44371;44375;44480
v3979	5744	17316	929678;929720;929728
v4019	5807	17356	1218455;1218464
v4066	5865	17265	580879;580886;580887;580888;580890;580891
v4138	5993	17190	76802;76806;76823;76828;76830;76848;76871;76911;76912;76918;77009;77098;77108;77111
v4200	6084	17244	437741;437744;437749;437751;437752;437753
v4228	6121	17332	1043758;1043768
v4229	6122	17311	890530;890545;890547;890553;890555
v4408	6343	17299	809180;809192;809201;809204;809206;809207;809213;809214;809217;809218;809222;809225;809234;809235;809236;809237
v4447	6411	17307	861780;861790;861799;861807;861820;861851;861857;861861
v4460	6431	17317	938840;938858
v4535	6503	17220	287514;287541;287546;287555;287557;287592
v4551	6523	17346	1122291
v4623	6627	17235	382308;382320;382327;382350;382357;382364;382369;382371;382403;382405;382425;382433;382444;382449;382450;382451
v4624	6627	17327	1006817;1006833
v4669	6689	17335	1079583;1079596;1079605;1079644;1079645;1079654;1079719;1079731;1079755;1079781;1079786;1079787
v4776	6847	17290	747858;747886;747887;747888;747890;747892;747899;747903;747917;747919;747966;747985;747987
v4795	6866	17197	127800
v4993	7147	17328	1014073;1014096;1014116;1014124;1014375
v5064	7238	17359	1243604;1243632;1243633;1243646;1243650;1243691;1243697;1243707
v5092	7281	17345	1114824;1114833;1114849;1114936;1114955;1114974;1114979
v5135	7351	17275	639782;639786;639798;639822;639827;639840;639852;639854;639855;639866;639888;639900
v5139	7359	17279	662965;662968;662975;663004;663022;663036
v5160	7387	17290	748982;749445
v5290	7535	17333	1051970;1051975;1051977;1052158;1052195;1052208;1052246;1052248;1052258;1052289;1052326
v5377	7657	17287	721631;721675;721683;721685;721692
v5496	7799	17344	1100871;1100892
v5532	7847	17244	439025
v5533	7847	17250	482115;482131;482138;482140;482144
v5547	7864	17355	1199739;1199793;1199799;1199801;1199802;1199805;1199810;1199814;1199827;1199828;1199830;1199831;1199833;1199835;1199836;1199839;1199852;1199855;1199900;1199905;1199909;1199911;1199924;1199931
v5575	7914	17220	285856;285858;285867;285868;285869;285888
v5634	8006	17288	731229;731254;731262;731288;731345;731354;731376;731387;731408;731412;731432;731438;731442
