index	wifi_id	ts	area	dwell_time
246	9111	1484269184	max	71
266	9111	1484270473	max	57
276	27552	1484271109	max	50
383	47339	1484275453	max	17
434	46259	1484276502	max	38
438	6121	1484276527	max	86
507	3244	1484277643	max	48
857	10325	1484284310	max	1842
886	40666	1484284676	max	1884
947	10325	1484285260	2f-sensor3	60
948	10325	1484285260	C	425
949	10325	1484285260	2f	425
950	10325	1484285260	out	425
951	10325	1484285260	in	425
957	10325	1484285320	2f-sensor4	95
963	10325	1484285416	2f-sensor2	132
974	10325	1484285548	3f	108
975	10325	1484285548	3f-sensor2	107
979	10325	1484285656	3f-sensor6	28
998	40666	1484286262	in	98
999	40666	1484286262	out	98
1074	31284	1484287042	max	8
2166	15257	1484298785	max	123
2443	897	1484301571	max	1529
2502	897	1484301868	out	711
2503	897	1484301868	in	711
2518	897	1484301928	3f	651
2520	897	1484301928	3f-sensor7	435
2552	47785	1484302172	max	30
2561	897	1484302364	3f-sensor1	215
2562	897	1484302364	E	215
2650	13106	1484303060	max	2
2773	13106	1484304645	max	96
2937	21737	1484305478	max	396
3191	40666	1484306826	max	61
3194	40666	1484306842	out	14
3195	40666	1484306842	out-front	14
3488	20495	1484308859	max	306
3497	20495	1484308940	out-back	36
3498	20495	1484308940	out	36
3499	20495	1484308940	out5	36
3501	20495	1484308948	in	28
3502	20495	1484308948	out9	28
3503	20495	1484308948	2f-sensor4	17
3504	20495	1484308948	out-front	28
3505	20495	1484308948	out8	28
3506	20495	1484308948	out2	27
3510	20495	1484308965	A	10
3511	20495	1484308965	1f	10
3513	20495	1484308967	1f-sensor4	8
3975	47339	1484313525	max	82
4075	18062	1484354650	max	5
4130	37832	1484356492	max	22
4173	16993	1484357629	max	8
4302	2121	1484362998	max	473
4574	39515	1484367475	max	1299
4577	39515	1484367548	out	244
4578	39515	1484367548	in	244
4586	39515	1484367627	2f	113
4587	39515	1484367627	2f-sensor3	33
4588	39515	1484367627	C	103
4592	39515	1484367661	2f-sensor4	70
4600	39515	1484367731	2f-sensor3	9
4603	39515	1484367741	2f-sensor2	36
4607	39515	1484367777	F	15
4608	39515	1484367777	3f	15
4609	39515	1484367778	3f-sensor2	14
4836	15897	1484370522	max	1083
4837	15897	1484370528	2f	25
4838	15897	1484370528	C	25
4839	15897	1484370528	2f-sensor1	2
4840	15897	1484370528	out	60
4841	15897	1484370528	in	60
4844	15897	1484370531	2f-sensor1	3
4848	15897	1484370534	2f-sensor4	13
4849	15897	1484370548	2f-sensor4	4
4850	15897	1484370554	2f-sensor3	29
5652	25267	1484378602	max	207
6189	3054	1484383060	max	4
6371	19861	1484384712	max	112
6422	16993	1484385127	max	15
6505	29306	1484386231	max	346
6976	45245	1484393145	max	860
6978	45245	1484393161	E	22
6979	45245	1484393161	3f	22
6980	45245	1484393161	in	797
6981	45245	1484393161	out	797
6982	45245	1484393161	3f-sensor1	22
6983	45245	1484393184	3f-sensor1	30
6985	45245	1484393215	4f-sensor4	58
6986	45245	1484393215	4f	672
6988	45245	1484393274	4f-sensor8	20
6991	45245	1484393295	4f-sensor10	418
7006	1452	1484393577	max	1278
7013	45245	1484393714	4f-counter	173
7014	45245	1484393714	4f-sensor9	173
7019	45245	1484393888	4f-sensor9	52
7023	45245	1484393941	3f-sensor6	18
7667	8754	1484449593	max	2878
7668	8754	1484449644	out	1822
7669	8754	1484449644	in	1822
7670	8754	1484449644	E	103
7671	8754	1484449644	3f-sensor1	14
7672	8754	1484449644	3f	103
7674	8754	1484449658	3f-sensor5	22
7675	8754	1484449681	3f-sensor6	51
7677	8754	1484449733	3f-sensor6	13
7679	8754	1484449747	3f-sensor5	30
7681	8754	1484449778	4f	1688
7682	8754	1484449778	I	516
7683	8754	1484449778	4f-sensor7	33
7684	8754	1484449811	4f-sensor8	139
7687	8754	1484449951	4f-sensor10	54
7690	8754	1484450005	4f-sensor9	108
7691	8754	1484450114	4f-sensor6	86
7692	8754	1484450201	4f-sensor8	49
7695	8754	1484450250	4f-sensor2	33
7696	8754	1484450283	4f-sensor7	11
7698	8754	1484450294	4f-sensor6	19
7700	8754	1484450314	H	922
7701	8754	1484450314	4f-sensor4	155
7711	8754	1484450469	4f-sensor1	408
7722	8754	1484450878	J	430
7723	8754	1484450878	4f-sensor10	357
