visit_id	wifi_id	date	indices
v9	44	17179	57743;57747;57796;57810;57816;57821;57822
v36	100	17222	248643;248644
v44	123	17219	234327;234329;234330
v55	162	17201	159646;159648
v56	162	17220	238439;238441;238449;238488;238492;238498
v69	187	17167	4424;4428;4459;4481;4489;4523;4579;4625;4655
v70	187	17214	211945;211949;211954;211959;211966;211969;211991;211992;212000;212063;212064;212066;212069;212070
v78	198	17172	30074
v80	200	17193	117827;117828;117829;117837;117839;117870;117873;117879
v85	220	17216	225351;225352;225365;225366;225367;225368;225369
v86	222	17185	84820;84827;84828;84834;84860;84861;84862
v93	237	17216	223960;223962;223975;223978;223979;224672
v102	253	17181	65935;65937;65938;65953
v118	288	17203	168115;168177;168179;168234;168242;168281
v123	301	17209	192814;192816;192817;192828;192887;192888;192889;192890;192915;192966;192980;192982
v135	321	17198	140082;140083;140094;140109;140145;140179
v143	351	17191	112141;112165;112195;112218;112223;112231
v145	360	17180	65084;65096;65098;65100;65140;65142;65195
v146	364	17227	267594;267606;267608;267629;267631
v155	384	17189	103598;103600;103622;103624;103627;103704
v158	393	17208	191110;191113;191132
v171	430	17208	191335
v185	474	17204	171412;171418;171441;171464;171509;171517;171520;171544;171556
v186	474	17209	195270;195274;195280;195282
v188	479	17212	205950;205952;205959;205967;205975;205977;206059;206100;206127;206129;206132;206133;206135;206138
v200	498	17186	89292;89294;89320;89379;89384;89386;89400;89498;89501;89534;89572;89597;89605
v211	521	17180	65320;65325
v212	521	17182	72111;72138
v220	535	17216	223598;223600;223602;223613;223630;223631;223632;223637;223643
v234	569	17194	120458;120459;120467;120471;120473;120476;120490;120503;120518;120520;120521;120573;120579
v236	578	17167	3627;4407;4423;4433;4466;4484;4486
v238	586	17220	238133;238136;238142;238297;238299;238302;238306;238313;238429;238430;238435;238462;238548;238620;238705;238706
v248	604	17167	7226
v249	604	17210	198751;198765;198775;198777;198778;198790;198794;198800;198814
v278	689	17215	215987;215989;216010;216024;216051;216052;216057
v288	728	17213	208995;208996;209054;209225
v298	749	17197	134601;134606;134613;134622;134699
v322	810	17227	268155;268197;268199;268203
v347	883	17190	106052;106057;106060;106061;106065;106067;106083;106104;106174
v348	884	17207	184269;184271;184276;184277;184279;184289;184290;184300;184301;184305;184317
v353	905	17167	3860;3861
v354	905	17184	77905;77909;77912;77970;77973;78070;78073
v355	905	17185	82186;82193;82197;82204;82242;82269;82328;82347;82361;82389;84627;84633;84638
v356	905	17196	132030;132042;132045;132064;132067
v373	949	17225	259822;259838;259848;259849;259873;259874;259879;259889;259895
v374	951	17177	51374;51382;51386;51398;51399;51400;51401;51405
v378	957	17168	9197;9200;9213;9220;9238;9243;9289;9290;9291;9293;9332
v384	980	17197	133486;133489;133528;133655;133679;133695;133696;133698;134063;134084
v408	1041	17173	32820;32867;32868;32869;32877;32918;32993;32998;33038;33041;33049
v412	1051	17172	30300;30301
v413	1052	17215	218966;218970;219076;219077;219078;219086;219131;219186
v414	1053	17199	146195;146231;146232;146233;146246;146277;146427;146431
v480	1275	17216	221953;221954;221966
v482	1278	17168	15003;15008;15016;15019;15020;15022;15035;15043
v500	1331	17205	175355;175368;175374;175385;175449;175480;175482;175483;175486;175637;175648
v508	1355	17220	236632
v512	1370	17197	135518;135524;135574;135575;135580;135597;135618;135665;135686;135745;135746;135747;135765;135780;135801;135859;136237;136516;136531;136532;136533
