index	wifi_id	ts	area	dwell_time
8	7036	1483197001	out	102
11	39687	1483197311	out	105
28	7833	1483235578	out	725
29	46140	1483235581	out	3
31	15283	1483235633	out	43
33	7833	1483235662	in	10
34	7833	1483235662	1f	10
99	43842	1483238478	out	946
123	43370	1483239072	out	1369
131	43370	1483239239	in	1151
133	43370	1483239266	1f	1124
176	43370	1483239799	1f-right-2	552
177	43370	1483239799	1f-left-2	552
178	43370	1483239800	1f-right-1	536
202	43370	1483239921	2f-right-1	169
203	43370	1483239921	2f	388
204	43370	1483239922	2f-stair	387
226	43370	1483240057	2f-right-2	27
227	43370	1483240057	2f-left-2	30
230	43370	1483240065	2f-left-1	210
290	43370	1483240352	1f-left-3	36
358	20318	1483240884	out	270
389	46140	1483241147	out	343
495	47753	1483241790	out	62
545	27955	1483242110	out	407
567	27955	1483242224	in	183
586	27955	1483242381	1f	25
599	38860	1483242485	out	4
683	20318	1483243085	out	32
695	9413	1483243177	out	37
885	36562	1483245021	out	486
887	36562	1483245065	in	443
888	36562	1483245065	1f	443
889	36562	1483245071	1f-left-3	7
897	36562	1483245109	1f-right-2	183
902	8870	1483245144	out	1285
906	8870	1483245182	in	1221
907	8870	1483245182	2f-left-1	784
908	8870	1483245182	2f	831
913	8870	1483245223	1f	1180
914	8870	1483245223	1f-right-3	1137
916	36562	1483245249	2f-right-1	16
917	36562	1483245249	2f	16
918	36562	1483245250	2f-stair	15
922	8870	1483245303	1f-left-3	1055
924	8870	1483245329	1f-left-2	966
925	36562	1483245332	1f-left-1	53
926	36562	1483245334	1f-right-1	34
929	8870	1483245391	1f-right-1	728
936	8870	1483245564	1f-right-2	795
938	8870	1483245584	1f-left-1	553
942	8870	1483245617	2f-stair	395
952	8870	1483245780	2f-right-1	181
957	8870	1483245797	2f-left-2	116
961	8870	1483245843	2f-right-2	90
1029	15283	1483246340	out	68
1062	10267	1483246587	out	1824
1077	10267	1483246655	in	1716
1078	10267	1483246656	1f-right-3	5
1080	10267	1483246656	1f	1711
1081	10267	1483246658	1f-left-3	8
1082	10267	1483246660	1f-left-2	20
1090	10267	1483246687	1f-left-1	1621
1094	10267	1483246719	2f	171
1095	10267	1483246719	2f-stair	52
1101	10267	1483246772	2f-right-1	107
1118	10267	1483246839	2f-left-1	51
1167	15283	1483247229	out	571
1168	15283	1483247230	in	569
1169	15283	1483247230	1f-right-2	300
1170	15283	1483247230	1f	569
1171	15283	1483247230	1f-left-3	569
1172	15283	1483247230	1f-left-2	300
1185	15283	1483247290	1f-right-3	279
1203	10267	1483247403	1f-right-1	906
1234	21010	1483247632	out	410
1258	9413	1483247718	out	28
1259	38026	1483247719	out	1252
1269	38026	1483247796	in	1102
1270	38026	1483247799	1f	1099
1271	38026	1483247799	1f-left-3	1095
1273	38026	1483247803	1f-right-3	1072
1275	38026	1483247819	1f-left-2	676
1280	38026	1483247831	1f-right-2	984
1313	10267	1483248024	1f-right-2	335
1319	38026	1483248067	2f	257
1321	38026	1483248067	2f-stair	256
1333	38026	1483248146	2f-left-2	22
1334	38026	1483248146	2f-left-1	95
1341	38026	1483248187	2f-right-2	26
1351	38026	1483248229	2f-right-1	70
1355	10267	1483248267	1f-left-2	72
1356	10267	1483248282	1f-right-3	79
1366	10267	1483248326	1f-left-3	37
1370	38026	1483248380	1f-left-1	388
1383	38026	1483248494	1f-right-1	284
1420	7036	1483248699	out	352
1426	7036	1483248738	in	10
1427	7036	1483248738	1f	10
1454	20627	1483248917	out	645
1467	1617	1483248949	out	45
1491	33700	1483249184	out	4
1536	15356	1483249502	out	72
1549	19172	1483249688	out	20
1585	513	1483250005	out	35
1975	15356	1483252413	out	25
2001	36562	1483252484	out	14
2016	38026	1483252507	out	220
2036	43842	1483252625	out	1120
2043	23980	1483252719	out	195
2052	23980	1483252759	in	119
2053	23980	1483252759	1f	119
2054	23980	1483252761	1f-left-3	115
2056	23980	1483252766	1f-right-3	103
2059	23980	1483252770	1f-left-2	98
2060	23980	1483252770	1f-right-2	91
2061	23980	1483252779	1f-left-1	75
2064	23980	1483252789	1f-right-1	67
2067	23980	1483252809	2f-stair	33
2068	23980	1483252809	2f	33
2069	23980	1483252814	2f-right-1	18
2070	23980	1483252814	2f-left-2	12
2072	23980	1483252816	2f-left-1	21
2183	20128	1483253412	out	260
2214	26154	1483253559	out	152
2218	20128	1483253575	in	32
2220	41565	1483253585	out	436
2230	41565	1483253645	in	298
2231	41565	1483253645	1f-right-2	12
2232	41565	1483253645	1f	284
2239	41565	1483253655	2f-right-2	288
2240	41565	1483253655	2f	288
2246	41565	1483253680	1f-left-3	249
2255	41565	1483253742	1f-right-3	87
2297	10735	1483253994	out	37
2367	28305	1483254558	out	887
2400	184	1483254782	out	583
2435	29562	1483254924	out	558
2439	36548	1483254936	out	1527
2446	29562	1483254970	1f	492
2447	29562	1483254970	in	492
2448	29562	1483254976	1f-right-2	476
2450	21123	1483254983	out	68
2454	36548	1483254986	in	820
2455	36548	1483254986	1f-left-3	814
2456	36548	1483254986	1f	814
2459	36548	1483254988	1f-right-3	684
2465	36548	1483255010	1f-right-2	776
2470	36548	1483255085	1f-left-2	710
2472	36548	1483255102	1f-right-1	651
2494	29562	1483255257	2f	42
2495	14530	1483255258	out	25
2500	29562	1483255280	2f-stair	20
2501	36548	1483255291	1f-left-1	496
2514	29562	1483255351	1f-left-2	110
2520	36548	1483255360	2f	131
2521	36548	1483255363	2f-left-1	79
2523	29562	1483255378	1f-right-3	68
2524	36548	1483255382	2f-right-1	39
2525	36548	1483255384	2f-stair	107
2531	29562	1483255427	1f-left-3	35
2553	48042	1483255588	out	1778
2644	49778	1483255925	out	731
2796	18101	1483256702	out	715
2824	18101	1483256828	in	589
2828	18101	1483256849	1f-right-3	40
2829	18101	1483256849	1f	568
2831	18101	1483256859	1f-left-2	51
2832	18101	1483256860	1f-left-3	558
2846	18101	1483256911	1f-right-2	61
2863	26154	1483257001	out	70
2890	18101	1483257108	2f-right-1	26
2891	18101	1483257108	2f	178
2901	18101	1483257129	2f-stair	156
2915	30717	1483257226	out	40
2933	23769	1483257320	out	1720
2963	19172	1483257554	out	29
2984	23769	1483257655	in	1385
2985	23769	1483257655	1f-right-2	122
2986	23769	1483257655	1f	176
2987	23769	1483257655	1f-left-3	56
2989	23769	1483257661	1f-left-1	170
2993	23769	1483257677	1f-left-2	95
2996	23769	1483257688	1f-right-1	143
2998	23769	1483257696	1f-right-3	20
3013	29562	1483257774	out	298
3039	23769	1483257867	2f	1172
3062	23769	1483258071	2f-left-1	969
3063	23769	1483258071	2f-right-2	969
3065	49123	1483258094	out	59
3145	23769	1483258472	2f-left-2	528
3146	23769	1483258472	2f-right-1	135
3239	36548	1483259049	out	25
3246	22723	1483259198	out	507
3250	22723	1483259232	in	361
3251	22723	1483259232	1f	361
3252	22723	1483259236	1f-left-3	353
3253	22723	1483259236	2f	7
3258	22723	1483259246	1f-right-3	337
3261	22723	1483259258	1f-left-2	313
3265	22723	1483259277	1f-right-2	288
3279	22723	1483259342	1f-right-1	220
3293	22723	1483259470	1f-left-1	36
3362	23064	1483259888	out	480
3377	15283	1483259978	out	46
3386	29562	1483260016	out	65
3541	9646	1483260749	out	420
3560	23992	1483260830	out	100
3616	16599	1483261052	out	1364
3617	16599	1483261075	in	1295
3618	16599	1483261075	1f	1295
3621	16599	1483261092	1f-left-2	41
3623	16599	1483261099	1f-right-2	979
3639	16599	1483261176	1f-left-1	1071
3641	9963	1483261198	out	381
3642	16599	1483261208	2f	214
3644	16599	1483261212	2f-left-1	200
3645	16599	1483261221	2f-right-1	117
3651	16599	1483261264	1f-right-1	847
3663	16599	1483261341	2f-right-2	63
3665	16599	1483261372	2f-left-2	5
3710	30531	1483261863	out	80
3727	16599	1483261937	1f-left-2	434
3730	16599	1483261942	1f-right-3	41
3742	47181	1483261979	out	1585
3751	20128	1483262122	out	89
3755	13609	1483262220	out	786
3780	11251	1483262360	out	44
3790	29562	1483262404	out	1273
3799	31661	1483262462	out	75
3801	37780	1483262468	out	3
3802	13609	1483262470	1f	512
3803	13609	1483262470	in	512
3804	13609	1483262470	1f-left-3	499
3823	13609	1483262624	1f-left-2	343
3824	13609	1483262624	1f-right-2	344
3825	13609	1483262625	1f-right-3	344
3829	13609	1483262640	2f	146
3843	13609	1483262706	2f-stair	51
3849	13609	1483262715	2f-left-1	70
3851	13609	1483262717	2f-left-2	12
3852	13609	1483262727	2f-right-1	17
3860	13609	1483262780	1f-left-1	142
3862	13609	1483262781	1f-right-1	130
3942	30717	1483263184	out	22
4010	43842	1483263528	out	121
4032	43842	1483263591	in	54
4033	43842	1483263591	1f	54
4063	4762	1483263775	out	699
4093	13609	1483264196	out	28
4108	9971	1483264397	out	28
4140	18341	1483264823	out	101
4172	3004	1483265122	out	1064
4174	29562	1483265135	out	511
4186	293	1483265192	out	656
4191	293	1483265238	2f	358
4192	293	1483265238	in	448
4196	293	1483265246	1f-right-2	414
4197	293	1483265246	1f-right-3	428
4198	293	1483265246	1f-left-3	435
4199	293	1483265246	1f	436
4205	293	1483265255	1f-left-2	423
4208	293	1483265284	1f-left-1	368
4209	293	1483265290	1f-right-1	367
4230	293	1483265379	2f-stair	217
4236	293	1483265398	2f-left-1	170
4237	293	1483265398	2f-right-1	195
4239	293	1483265399	2f-left-2	117
4240	293	1483265403	2f-right-2	113
4241	7768	1483265403	out	1280
4248	7768	1483265494	in	1176
4249	7768	1483265494	1f	1156
4264	7768	1483265605	1f-right-3	1040
4270	7768	1483265654	1f-left-3	995
4283	7768	1483265700	1f-left-2	932
4332	30371	1483265791	out	523
4337	7768	1483265811	2f	732
4351	7768	1483265867	1f-right-2	722
4379	7768	1483265962	1f-right-1	612
4382	7768	1483265970	2f-left-2	473
4385	7768	1483265991	1f-left-1	582
4386	42982	1483265992	out	49
4415	25206	1483266178	out	775
4419	7768	1483266203	2f-stair	339
4437	7768	1483266281	2f-left-1	242
4439	7768	1483266284	2f-right-1	213
4440	7768	1483266307	2f-right-2	150
4482	30591	1483266565	out	1374
4509	11247	1483266686	out	72
4559	30591	1483267001	in	918
4560	30591	1483267001	1f	918
4566	18341	1483267035	out	1600
4581	30591	1483267190	1f-left-2	715
4582	30591	1483267190	1f-left-3	729
4583	6139	1483267227	out	2872
4584	6139	1483267227	in	2547
4585	6139	1483267227	1f	3
4586	6139	1483267228	1f-right-2	2
4588	30591	1483267244	1f-right-2	78
4589	6139	1483267268	2f	2401
4598	6139	1483267312	2f-left-2	2323
4601	6139	1483267350	2f-right-2	2201
4605	30591	1483267366	2f-stair	441
4606	30591	1483267366	2f	441
4607	30591	1483267378	2f-right-1	357
4610	30591	1483267390	2f-left-1	344
4614	30591	1483267467	2f-left-2	210
4633	30591	1483267544	2f-right-2	118
4640	6139	1483267579	2f-left-1	305
4675	20618	1483267720	out	129
4679	9971	1483267730	out	2355
4688	9971	1483267795	in	2262
4689	9971	1483267795	1f-left-3	531
4690	9971	1483267795	1f	2251
4696	9971	1483267814	1f-right-3	551
4701	9971	1483267834	2f	9
4703	9971	1483267843	1f-left-2	705
4707	18613	1483267856	out	703
4708	18613	1483267858	in	701
4709	18613	1483267861	2f-left-1	51
4710	18613	1483267861	2f	51
4712	30591	1483267865	1f-left-1	15
4713	18613	1483267869	2f-stair	15
4716	9971	1483267891	1f-right-2	698
4721	3004	1483267905	out	13
4741	9971	1483267999	1f-left-1	627
4751	9971	1483268045	1f-right-1	563
4815	18613	1483268413	1f	147
4816	18613	1483268414	1f-right-3	146
4822	18613	1483268470	1f-left-3	87
4838	46962	1483268581	out	2
4851	6139	1483268640	2f-left-1	949
4853	9971	1483268659	2f	869
4854	9971	1483268659	2f-stair	747
4855	18566	1483268675	out	754
4858	9971	1483268707	2f-left-1	547
4866	9971	1483268748	2f-right-1	502
4931	9971	1483269101	2f-right-2	117
4936	9971	1483269108	2f-left-2	420
4965	9971	1483269314	1f-right-3	715
5010	9971	1483269477	1f-left-2	518
5030	10376	1483269584	out	7
5031	9971	1483269585	1f-right-1	381
5034	9971	1483269597	1f-right-2	443
5038	9971	1483269619	1f-left-3	420
5046	6139	1483269693	1f	82
5050	9971	1483269712	1f-left-1	254
5053	6139	1483269749	1f-right-2	8
5055	6139	1483269760	1f-right-3	3
5056	6139	1483269768	1f-left-3	7
5073	23064	1483269943	out	575
5080	23064	1483269986	in	494
5081	23064	1483269986	1f	494
5082	23064	1483269991	1f-right-3	200
5084	23064	1483270002	1f-left-2	452
5089	23064	1483270006	1f-right-2	191
5094	23064	1483270047	1f-right-1	371
5096	9406	1483270066	out	23
5099	23064	1483270076	1f-left-3	394
5101	21351	1483270105	out	54
5131	23064	1483270256	2f-stair	134
5132	23064	1483270256	2f	220
5138	23064	1483270289	2f-left-1	5
5139	23064	1483270295	2f-right-2	8
5143	23064	1483270302	2f-left-2	174
5193	47245	1483270523	out	61
5195	44487	1483270543	out	480
5203	7362	1483270595	out	843
5207	44487	1483270602	in	373
5208	44487	1483270602	2f	373
5209	21974	1483270606	out	1346
5218	42077	1483270645	out	30
5231	21974	1483270698	1f	1225
5232	21974	1483270698	1f-left-2	1225
5233	21974	1483270698	in	1225
5254	21974	1483270853	2f	420
5255	21974	1483270854	2f-left-1	401
5258	479	1483270860	out	1865
5273	27909	1483270996	out	427
5322	21974	1483271224	2f-right-1	39
5323	21974	1483271225	2f-stair	48
5332	479	1483271307	in	1071
5334	21974	1483271333	1f-right-3	261
5338	21974	1483271364	1f-left-3	142
5339	21974	1483271365	1f-right-2	382
5340	479	1483271366	1f	1012
5354	832	1483271452	out	651
5395	21974	1483271667	1f-right-1	224
5402	21974	1483271722	1f-left-1	173
5551	4459	1483272326	out	1274
5564	25596	1483272408	out	1128
5591	25596	1483272509	in	979
5592	25596	1483272509	1f-left-3	979
5593	25596	1483272509	1f	979
5596	25596	1483272538	1f-left-2	907
5597	25596	1483272540	1f-right-3	831
5598	25596	1483272545	1f-right-2	934
5643	25596	1483272784	2f	165
5669	2591	1483272880	in	7
5670	2591	1483272880	1f	7
5671	2591	1483272880	out	38
5672	2591	1483272884	1f-left-3	3
5684	25596	1483272978	1f-right-1	422
5686	44161	1483273008	out	19
5711	832	1483273176	out	62
5734	25596	1483273338	1f-left-1	122
5841	46594	1483273852	out	223
5866	34233	1483274043	out	870
5905	479	1483274382	out	29
5980	24476	1483274819	out	884
5984	6849	1483274829	out	1024
5993	24476	1483274842	1f	834
5994	24476	1483274842	in	834
5995	24476	1483274842	1f-left-2	232
5996	6849	1483274859	in	995
5997	6849	1483274859	1f	995
6001	24476	1483274869	1f-left-3	803
6002	24476	1483274869	1f-right-2	728
6006	6849	1483274874	1f-right-2	267
6007	6849	1483274874	1f-left-2	979
6012	24476	1483274898	1f-right-1	187
6017	24476	1483274949	1f-left-1	144
6018	24476	1483274950	1f-right-3	77
6058	24476	1483275152	2f	324
6059	24476	1483275153	2f-stair	230
6084	24476	1483275183	2f-left-1	266
6085	24476	1483275188	2f-right-2	289
6088	24476	1483275191	2f-left-2	26
6098	24476	1483275218	2f-right-1	191
6111	6849	1483275232	2f	130
6119	21123	1483275280	out	73
6129	46594	1483275376	out	86
6134	20318	1483275471	out	209
6135	49778	1483275499	out	58
6142	6849	1483275588	1f-left-1	12
6146	7726	1483275651	out	23
6148	9053	1483275675	out	260
6158	11247	1483275784	out	86
6165	44161	1483275892	out	186
6177	32823	1483276041	out	106
6183	11251	1483276134	out	60
6226	10735	1483277043	out	44
6231	12089	1483277171	out	103
6238	39851	1483277310	out	32
6243	7726	1483277440	out	23
6264	25596	1483278001	out	539
6305	44920	1483282680	out	43
6307	7294	1483282719	out	57
6314	44920	1483285817	out	61
6321	27909	1483312714	out	5
6330	27909	1483315898	out	314
6348	30371	1483318023	out	302
6352	12089	1483318405	out	50
6355	46594	1483318572	out	126
6369	49872	1483318984	out	142
6428	15283	1483320590	out	5
6498	46594	1483321902	out	1289
6500	12089	1483321933	out	428
6502	46594	1483321944	1f	1199
6503	46594	1483321944	in	1199
6504	46594	1483321944	1f-right-3	1197
6505	46594	1483321965	1f-left-2	1168
6510	12089	1483322008	1f-right-3	285
6511	12089	1483322008	1f	327
6512	12089	1483322008	in	327
6516	12089	1483322038	1f-left-3	254
6524	46594	1483322220	1f-left-3	923
6529	46594	1483322251	1f-right-2	878
6532	46594	1483322314	1f-right-1	803
6534	46594	1483322330	1f-left-1	800
6540	46594	1483322385	2f-right-2	401
6541	46594	1483322385	2f	718
6549	49872	1483322510	out	460
6558	46594	1483322608	2f-left-1	229
6560	46594	1483322615	2f-right-1	229
6564	46594	1483322636	2f-left-2	467
6566	49872	1483322642	in	292
6567	49872	1483322642	1f	292
6573	49872	1483322720	2f	37
6575	49872	1483322781	1f-right-3	143
6576	49872	1483322793	1f-left-3	140
6674	9053	1483323946	out	1588
6751	7294	1483324842	out	51
6755	5900	1483325043	out	80
6791	48042	1483325378	out	22
6817	15356	1483325645	out	2427
6824	15356	1483325693	in	2334
6827	15356	1483325705	1f-right-3	569
6828	15356	1483325705	1f	2321
6832	15356	1483325743	1f-left-3	578
6833	37947	1483325751	out	445
6835	15356	1483325757	1f-left-2	605
6837	15356	1483325784	1f-right-2	581
6838	13407	1483325812	out	438
6839	15356	1483325832	1f-right-1	2054
6855	15356	1483326078	1f-left-1	279
6879	15356	1483326386	2f-right-1	782
6880	15356	1483326386	2f	785
6895	15356	1483326518	2f-right-2	651
6896	15356	1483326525	2f-left-1	646
6902	15356	1483326791	2f-left-2	175
6909	13407	1483327025	out	509
6916	15356	1483327193	1f-left-3	833
6917	15356	1483327234	1f-left-1	615
6918	15356	1483327234	1f-left-2	774
6919	15356	1483327252	1f-right-2	705
6925	15356	1483327355	1f-right-3	320
6929	37947	1483327595	out	399
6934	30371	1483327758	out	526
6935	26417	1483327806	out	565
6952	30371	1483328237	in	6
6953	30371	1483328237	1f	6
6969	48042	1483328440	out	38
6987	13407	1483328860	out	408
