visit_id	wifi_id	date	indices
v3	3	17388	838984;838985;838986;838991;839006;839034;839043;839045;839048;839099
v4	3	17391	851867;851883
v9	5	17176	47630;47631;47632;47635;47641;47645;47649;47650;47651;47653;47655
v10	5	17178	58880;58881;58882;58884;58885;58886;58891;58892;58893;58894;58895
v11	5	17193	124566;124568;124569;124572;124573;124611;124612;124613;125408;125409;125410;125412;125416;125430
v12	5	17196	142796;142797;142799;142801;142807;142811
v13	5	17252	400372;400373;400374;400375;400390;400391
v14	5	17267	456752;456753;456757
v15	5	17314	609745;609746;609748;609751
v25	14	17268	459206;459217;459226;459238;459240;459302;459305;459306;459314;459320
v30	19	17378	809073;809075;809089;809092
v31	19	17466	1103328;1103331
v32	21	17223	276185;276186;276187;276192
v34	24	17295	548767;548769;548774;548851
v44	31	17172	25582;25583;25584;25585;25586;25587;25609;25611;25613;25614;25620
v45	31	17210	209509;209510;209515;209523;209528;209542;210550;210556;210558;210559;210578;210589;210591;210592;210601;210602;210723;210732
v46	31	17215	232571;232572;232578;232580;232597
v47	31	17246	376188;376192;376194;376195;376206
v48	31	17300	561284;561286;561287;561288;561289
v49	31	17303	569849;569852;569853;569867;569871
v50	31	17335	675142;675144
v72	49	17249	384935;384936;384937;384948
v74	52	17331	661550;661551;661561;661563;661566
v75	52	17334	670647;670649
v131	80	17283	511821;511822;511824;511825;511827;511829;511833;511839;511841;511842;511843;511947
v132	80	17342	699117;699119;699120;699121;699122;699126
v133	80	17354	731928;731929;731930;731931
v134	80	17364	765316;765318;765319;765321;765324;765326;765328;765330;765334
v150	85	17242	361724;361739;361740;361741;361749;361756;361773;361774;361775;361776;361781;361833;361834;361866;361867;361871
v151	85	17245	371509;371510;371511;371512;371513;371514
v152	85	17311	595706;595708;595712;595722;595725;595727
v153	85	17323	637720;637724;637725;637726
v165	98	17172	28169;28170;28200
v186	113	17242	360448;360449;360450;360465;360474;360475;360525;360594;360595;360629;360630;360675;360676;360690
v238	147	17286	522161;522162;522164;522169;522171;522172
v239	147	17306	578201;578205;578206;578207;578209;578213;578216;578221;578222;578223;578224;578269;578270;578273;578275;578276
v240	147	17345	706776;706777;706778;706779
v288	169	17203	175965;175966;175969;175972;175981;175984;175993;176010
v289	169	17208	200335;200337;200338;200342;200343;200357;200364;200366;200369;200372;200457;200460;200461;200462
v290	169	17405	906071;906076;906082;906085;906100;906131
v291	169	17418	947057;947059;947060;947064;947073;947074
v292	169	17428	980337;980338;980348;980349;980351;980352;980369;980399
v303	176	17171	21032;21041
v304	176	17228	298771;298775;298776;298779;298796;298803
v326	193	17443	1028286;1028296;1028304;1028305;1028513
v329	196	17199	156822;156825;156828;156831;156851;156855;156872;156874;157019
v379	218	17198	151700;151701;151702;151703;151705;151706;151775;151781;151782;151784;151785
v380	218	17218	252507;252510
v386	221	17348	713449;713450;713451;713455;713477;713478;713481;713482;713483;713485
v390	225	17213	224508;224510;224515;224516;224517;224523;224543;224558
v391	225	17428	979011;979012;979013;979014;979016;979017
v395	227	17381	816785;816786;816790;816794;816798;816799
v402	230	17371	786007;786015;786016;786017;786022;786028;786032
v475	267	17465	1098729;1098732;1098733;1098734;1098735
v481	275	17175	43554;43555;43556;43557;43567;43568
v482	275	17185	93895;93896;93899;93900
v483	275	17190	117101;117102;117103;117104;117107;117108;117109;117111;117112;117117;117118
v489	279	17233	322049;322050;322056;322075;322179;322183;322185;322186
v514	296	17168	10781;10783;10785;10802;10807
v522	305	17344	703167;703168;703178;703214;703215;703220
v529	310	17200	161905;161908;161918;161943
v532	313	17191	120726;120727;120728;120729;120734;120735;120737;120743;120744;120746;120747
v535	316	17288	527308;527330;527332;527335;527336
v539	318	17395	862952;862958;862962
