visit_id	revisit_interval	revisit_intention
v29		0
v65		0
v66		0
v99	98.82	1
v136	148.13	1
v176	56.08	1
v214		0
v229	156.96	1
v231	98.21	1
v245		0
v314		0
v317		0
v334		0
v359	9.24	1
v364	78.14	1
v396		0
v398	115.75	1
v400		0
v431		0
v433		0
v434		0
v437		0
v447		0
v464		0
v498		0
v499		0
v500		0
v508		0
v526		0
v609		0
v630		0
v688		0
v711	66.01	1
v717		0
v727		0
v731		0
v765		0
v791		0
v837		0
v859		0
v881		0
v882		0
v887		0
v898		0
v909		0
v917		0
v930		0
v933		0
v950		0
v960		0
v973		0
v987	121.11	1
v992		0
v1012	131.02	1
v1037	161.89	1
v1044		0
v1049		0
v1063	4.12	1
v1065		0
v1067		0
v1089	196.1	1
v1092		0
v1101		0
v1122		0
v1126		0
v1127		0
v1128	120.93	1
v1138	138.92	1
v1143		0
v1144		0
v1161		0
v1166	71.78	1
v1171		0
v1172		0
v1188		0
v1240		0
v1248		0
v1251		0
v1268		0
v1272		0
v1275		0
v1305		0
v1313		0
v1318		0
v1327		0
v1354		0
v1360		0
v1365		0
v1380	47.03	1
v1381	99.24	1
v1393		0
v1400		0
v1403	77.95	1
v1406		0
v1409	285.07	1
v1412		0
v1416		0
v1417		0
v1441		0
v1443		0
v1452		0
v1485		0
v1509	83.97	1
v1523		0
v1551	164.04	1
v1553		0
v1577		0
v1578	187.85	1
v1597		0
v1607	162.08	1
v1620		0
v1623		0
v1624		0
v1628	0.89	1
v1644		0
v1659	37.04	1
v1660	130.23	1
v1692		0
v1693		0
v1702		0
v1704		0
v1706		0
v1712	105.11	1
v1714		0
v1719	42.82	1
v1751		0
v1766	26.96	1
v1769		0
v1771		0
v1777		0
v1815	79.98	1
v1832		0
v1833		0
v1847		0
v1869		0
v1874		0
v1881		0
v1909		0
v1921		0
v1924		0
v1926	139.59	1
v1928		0
v1932	96.23	1
v1933		0
v1944		0
v1948		0
v1961		0
v1968		0
v2001		0
v2002		0
v2014	135.16	1
v2022	227.24	1
v2043	58.87	1
v2054	252.94	1
v2059	118.19	1
v2073		0
v2076		0
v2095		0
v2100	41.98	1
v2117		0
v2129		0
v2143		0
v2157	94.04	1
v2158		0
v2165	39.11	1
v2190		0
v2226	22.99	1
v2229		0
v2232	82.96	1
v2253		0
v2270		0
v2277		0
v2281		0
v2291		0
v2295		0
v2297	68.77	1
v2343		0
v2353	61.06	1
v2363		0
v2375		0
v2385		0
v2386	153.96	1
v2415		0
v2435	35.18	1
v2438	46.84	1
v2442		0
v2463	127.65	1
v2477		0
v2479		0
v2480		0
v2490		0
v2493		0
v2494		0
v2522	100.01	1
v2540		0
v2541	117.9	1
v2558		0
v2571	173.04	1
v2591		0
v2614	82.98	1
v2629		0
v2650		0
v2665		0
v2689	78.87	1
v2697		0
v2701	106.87	1
v2704	221.03	1
v2721		0
v2738	91.92	1
v2739		0
v2755	121.03	1
v2775	50.74	1
v2777		0
v2778	127.06	1
v2780		0
v2825		0
v2833		0
v2852		0
v2875	109.89	1
v2885		0
v2887	62.15	1
v2892		0
v2907		0
v2908		0
v2938		0
v2939		0
v2940	2.98	1
v2952	78.92	1
v2961	118.77	1
v2996		0
v3033	96.83	1
v3043	46.67	1
v3079	40.82	1
v3080		0
v3102	149.29	1
v3126	229.9	1
v3168		0
v3174		0
v3177		0
v3178		0
v3190		0
v3212	118.02	1
v3217		0
v3233		0
v3237	43.08	1
v3268		0
v3289	47.93	1
v3299		0
v3328		0
v3336		0
v3348		0
v3356		0
v3397		0
v3421	72.91	1
v3436	140.03	1
v3453		0
v3482	35.9	1
v3490	71.98	1
v3496		0
v3497		0
v3500		0
v3536	47.05	1
v3544		0
v3548	8.72	1
v3574		0
v3590		0
v3624		0
v3629	129.19	1
v3631		0
v3632	88.94	1
v3637		0
v3641	91.15	1
v3645		0
v3663		0
v3676	252.08	1
v3693		0
v3708		0
v3712		0
v3737	47.2	1
v3748	48.96	1
v3766		0
v3858	30.08	1
v3890		0
v3912		0
v3919		0
v3921	43.06	1
v3922		0
v3983	117.93	1
v3995		0
v4007		0
v4021		0
v4040		0
v4041		0
v4132		0
v4139		0
v4140		0
v4145	181.91	1
v4158		0
v4213		0
v4234		0
v4243	179.05	1
v4266		0
v4289		0
v4290		0
v4297		0
v4332		0
v4341		0
v4345		0
v4346		0
v4352		0
v4355		0
v4394		0
v4398	154.04	1
v4413		0
v4420		0
v4434		0
v4442		0
v4444		0
v4469		0
v4495		0
v4499		0
v4519		0
v4579	141.69	1
v4585		0
v4600		0
v4603	158.85	1
v4607	69.95	1
v4635		0
v4636		0
v4664	47.06	1
v4667	51.64	1
v4675	190.74	1
v4688		0
v4702		0
v4754	50.09	1
v4791		0
v4800		0
v4807		0
v4818		0
v4819		0
v4826		0
v4874		0
v4898		0
v4909		0
v4925		0
v4930		0
v4932	93.19	1
v4934	158.98	1
v4960		0
v4965		0
v4990		0
v4992		0
v4998		0
v5060	226.95	1
v5061		0
v5069	96.7	1
v5108		0
v5114		0
v5169		0
v5173		0
v5174	95.13	1
v5195		0
v5196		0
v5197		0
v5244		0
v5250	174.79	1
v5251		0
v5265		0
v5285		0
v5297		0
v5309		0
v5313		0
v5342	155.13	1
v5344		0
v5349		0
v5352	66.15	1
v5360		0
v5369		0
v5374		0
v5385	76.98	1
v5386		0
v5419		0
v5443		0
v5449		0
