visit_id	wifi_id	date	indices
v2	4	17333	1130404;1130439;1130472;1130525;1130563;1130573;1130577;1130582;1130723;1130731;1130738;1130745
v43	32	17198	211644
v44	32	17269	710289;710291
v45	32	17277	757020;757028;757031;757037;757038
v56	40	17229	437039;437045;437053;437055;437056;437057;437087;437099
v59	43	17188	147170;147172;147178;147179;147181;147188
v72	51	17316	1025647;1025658;1025667;1025670;1025673;1025682
v108	91	17268	704793;704809
v109	91	17318	1040250;1040259;1040274
v133	110	17203	248416;248541;248550;248552;248553;248555;248556;248570
v134	110	17221	373177
v140	117	17171	31052;31057;31065;31095;31126
v156	134	17201	232533;232537;232538;232544;232548;232550;232551;233070
v175	151	17203	250481
v179	158	17204	253991;253998;253999;254002;254003
v197	173	17253	603071;603077;603079;603081;603083;603087;603091;603092;603093
v212	187	17192	173274;173291
v218	195	17332	1123300
v219	196	17187	138480;138488;138490
v220	196	17196	190928;190930;190939
v221	196	17215	332725
v222	196	17237	486491;486515;486527;486533;486536;486540;486556;486568
v223	196	17271	724313
v234	203	17299	912368;912421
v241	209	17256	621165;621170;621171
v245	214	17192	171596;171601;171605
v254	223	17267	700242;700248;700251;700254;700260;700268;700295;700330;700340;700344;700400
v255	223	17300	918349;918352;918355;918356;918361;918363
v257	228	17215	334180;334199;334227;334235;334237;334248;334256;334261;334269;334271
v282	253	17258	637667;637674;637690;637748;637755;637758
v313	283	17188	145185;145189;145193;145195;145200
v318	289	17254	608983
v321	291	17245	548817;548824;548826;548834;548836;548842;548846;548848;548853;548858;548864;548865;548893;548896;548897;548899;548900;548928;549602;549603;549606;549607;549608;549609;549808;549866
v329	299	17290	849854;849860;849865;849873;849874;849876;849878;849881;849883;849886;849903;849904
v330	303	17202	245968;245974;245979
v331	303	17237	492657;492664
v332	303	17264	682790;682794;682817;682828;682832
v333	303	17284	802535;802560;802585;802592;802600;802611;802616;802619
v342	313	17182	109467;109539
v354	327	17170	25033;25050;25082
v355	327	17268	708963;708974
v372	340	17223	390693
v382	355	17282	787029;787033;787042;787043;787044
v399	368	17310	980064;980076
v400	368	17345	1218923;1218933;1218946;1218969
v433	391	17229	435444;435450;435457;435473;435497;435537;435576
v444	402	17252	597704;597729
v448	407	17186	132775;132784;132796;132861;132890;132904;132911
v449	407	17198	214480;214486;214517;214535;214583
v450	407	17234	466325;466332;466338
v451	407	17255	616437;616455;616465;616485;616489
v452	407	17261	659853
v453	407	17269	713301;713308;713321
v454	407	17271	723445;723456;723503;723526
v455	407	17276	754295
v457	410	17269	712413;712419;712421;712424;712450
v489	419	17320	1056147;1056159
v505	440	17321	1062388;1062394;1062397;1062399;1062401;1062411;1062428;1062429;1062435
v530	477	17209	296769
v531	477	17251	590529
v532	477	17279	772281;772285;772379;772398;772405;772429;772430;772431;772432
v533	477	17288	837740
v534	477	17292	871000;871004;871005;871213;871214
v535	477	17334	1140493
v537	479	17297	901842;901851;901868
v540	482	17199	219220;219225;219228;219239;219242;219243;219250;219254;219259;219260;219264;219266;219271;219282;219307;219463;219496;219499;219504;219511;219518
v543	487	17267	701304
v544	487	17345	1224543;1224554
v553	495	17309	974044;974048
v554	495	17346	1226095
v557	498	17174	54764;54766;54866
v561	501	17283	796630;796639;796642;796670;796672;796677;796707;796709;796714;796716;796720;796722;796725;796726;796732;796746;796749;796766
v562	502	17184	116724
v572	515	17200	228789;228795;228800;228802;228814;228820;228824;228842;228846;228854;228855;228866;228883;228894;228922;228923;228924
v573	515	17209	294655
v574	515	17236	483642;483646;483726;483727;483730
v582	522	17242	521206;521211;521219;521223;521227;521237;521238;521243;521249;521252;521255;521258;521263;521266;521268;521353;521370;521378;521391;521410;521417;521425;521429;521432;521437;521448;521479;521532;521558;521565;521607;521619;521662;521675
v591	538	17210	298670;302522
v592	538	17267	701147;701156;701157
v593	538	17272	736046
v594	538	17313	1009884;1009895
v595	538	17321	1061908;1061974
v596	538	17336	1153861;1153880
v598	543	17338	1168292;1168298
v599	543	17339	1171852;1171856;1171894;1171898;1171906;1171925;1171956;1171957
v602	546	17196	189530;189535;189546;189548;189553;189557;189563;189565;189582;189608;189610;189615;189618;189794;189799;189800;189802;189804;189808;189810;189812
v603	546	17198	213111;213112;213120;213121
v605	548	17293	876576;876578;876587;876588;876591;876592;876595;876597;876598;876599;876876;876879;876885;876889;876898;876899;876913;876923;876935;876937;876943;876945;876984;876991;876993;876997;877000
v606	548	17341	1186186
v638	586	17197	208351;208353;208356;208360;208363;208379;208382;208386;208387;208390;208400;208405;208412;208413;208418;208425;208432
v639	586	17285	808130
v654	605	17265	689387;689397;689402;689413;689421;689425;689429;689433;689435;689438;689440
v668	623	17278	768312;768535;768547;768550;768554;768566;768569;768570;768573;768575;768580;768581;768583;768588
v673	628	17314	1012668
v683	640	17223	387617;387645;387648;387652;387657;387659;387663;387695;387745;387747
v689	647	17191	165928;165958;165975;166008
v711	667	17303	940888;940900;940904;940911;940918;940937;940942;940943;940944;940946;940947;940958;940959
v712	667	17317	1035696;1035697
v737	688	17187	137480;137485;137491;137506;137514;137516;137518;137521;137781;137788;137790;137791;137792;137795;137940;137949;137951;137954;137958;137963;137965;137966;137972;137973;137976;137978;137980;139635;139842;139845;139899
