visit_id	revisit_interval	revisit_intention
v17		0
v18		0
v25	0.71	1
v26	11.18	1
v27		0
v35		0
v40		0
v45	3.13	1
v46	8.04	1
v47		0
v52	18.08	1
v53		0
v61	8.01	1
v62	7.04	1
v63	2.0	1
v64	7.97	1
v65	9.01	1
v66		0
v75	4.13	1
v76	25.88	1
v77		0
v99		0
v112		0
v124		0
v133	46.19	1
v134	14.03	1
v135		0
v152	0.85	1
v153		0
v164		0
v185		0
v198		0
v201	8.93	1
v202		0
v211		0
v247		0
v249		0
v265		0
v278		0
v295	9.14	1
v296		0
v314		0
v344		0
v347		0
v362		0
v383		0
v391		0
v450		0
v452		0
v454		0
v461		0
v477		0
v484		0
v496		0
v500		0
v523		0
v543		0
v552		0
v585		0
v596		0
v601		0
v613		0
v646		0
v647		0
v651		0
v660	1.08	1
v661	1.72	1
v662		0
v674		0
v675		0
v677		0
v687		0
v700		0
v713		0
v739		0
v746		0
v760		0
v782		0
v789		0
v792		0
v793		0
v795		0
v826		0
v837		0
v872		0
v884		0
v894		0
v901		0
v904		0
v930	3.99	1
v931		0
v968		0
v1013		0
v1037		0
v1059		0
v1073		0
v1078		0
v1080		0
v1082		0
v1086		0
v1098		0
v1100		0
v1111		0
v1113		0
v1114		0
v1144		0
v1156		0
v1160		0
v1199		0
v1214	6.76	1
v1215	9.33	1
v1216	13.94	1
v1217		0
v1221		0
v1229		0
v1230		0
v1233		0
v1290		0
v1327		0
v1329		0
v1330		0
v1336		0
v1337	35.86	1
v1338		0
v1344		0
v1347		0
v1355		0
v1361		0
v1375		0
v1393	17.74	1
v1394		0
v1409	20.74	1
v1410		0
v1413	1.61	1
v1414		0
v1495		0
v1519		0
v1544	22.29	1
v1545		0
v1548		0
v1551		0
v1555	30.85	1
v1556		0
v1571		0
v1572		0
v1575	0.98	1
v1576		0
v1594		0
v1599		0
v1642		0
v1678	11.0	1
v1679		0
v1684	20.3	1
v1685		0
v1687	5.05	1
v1688		0
v1692		0
v1704		0
v1713		0
v1731	0.84	1
v1732		0
v1733		0
v1754		0
v1755		0
v1776		0
v1781		0
v1789		0
v1800	1.01	1
v1801		0
v1814		0
v1838		0
v1850		0
v1851		0
v1876		0
v1892		0
v1898		0
v1908		0
v1943		0
v1956		0
v1957		0
v1970		0
v1982		0
v1986		0
v1989		0
v1999		0
v2020		0
v2028		0
v2067		0
v2092		0
v2093	17.02	1
v2094		0
v2117		0
v2123		0
v2131		0
v2174	1.79	1
v2175		0
v2178		0
v2185		0
v2187		0
v2197		0
v2205		0
v2215		0
v2225		0
v2227		0
v2233		0
v2253		0
v2274		0
v2280		0
v2283	9.88	1
v2284		0
v2298		0
v2302		0
v2318		0
v2326		0
v2344		0
v2357		0
v2368		0
v2369		0
v2371		0
v2387		0
v2390		0
v2397		0
v2404		0
v2405		0
v2424		0
v2428		0
v2429		0
v2436		0
v2440		0
v2448		0
v2465		0
v2477		0
v2482		0
v2486		0
v2515		0
v2534		0
v2548		0
v2550		0
v2555		0
v2561		0
v2563		0
v2588		0
v2598	27.02	1
v2599	1.13	1
v2600	13.9	1
v2601	7.87	1
v2602		0
v2608		0
v2626		0
v2630		0
v2661		0
v2701		0
v2703		0
v2750		0
v2764		0
v2791	2.79	1
v2792	1.16	1
v2793		0
v2794		0
v2796	27.95	1
v2797	7.02	1
v2798		0
v2800		0
v2809		0
v2848		0
