index	wifi_id	ts	area	dwell_time
124	39986	1483236941	max	15
193	36370	1483237939	max	12
249	31557	1483238389	max	1278
255	33401	1483238488	out	691
256	33401	1483238488	max	703
270	43499	1483239039	max	40
271	31557	1483239071	out	600
273	31557	1483239130	sensor7	2
274	31557	1483239130	in	197
275	31557	1483239130	center	58
276	31557	1483239132	ghi	55
277	31557	1483239133	sensor15	46
280	31557	1483239179	sensor16	8
297	33197	1483239724	max	43
298	33197	1483239755	out	10
299	7336	1483239812	max	69
311	23534	1483240001	max	417
320	23534	1483240039	out	379
322	23534	1483240067	jk3	89
323	23534	1483240067	indi-brand2	89
324	23534	1483240067	indi-brand	89
325	23534	1483240067	in	311
326	23534	1483240067	sensor16	68
327	23534	1483240067	ghi	88
328	23534	1483240067	center	311
330	23534	1483240136	bcd	242
331	23534	1483240137	sensor13	19
332	23534	1483240156	out2	222
400	23751	1483240733	out	483
401	23751	1483240733	max	483
410	3484	1483240827	max	131
453	23534	1483241207	max	234
454	23534	1483241208	out	206
457	23534	1483241234	sensor5	57
458	23534	1483241234	bcd	57
459	23534	1483241234	in	90
460	23534	1483241234	center	90
465	23534	1483241291	ghi	33
466	23534	1483241292	sensor7	32
542	17371	1483242138	max	1273
543	17371	1483242138	out	1216
562	3484	1483242236	max	125
563	3484	1483242237	out	96
564	23534	1483242331	out	20
565	23534	1483242331	max	20
572	27935	1483242499	max	384
573	27935	1483242512	out	142
574	27935	1483242515	in	136
584	24254	1483242651	max	403
587	24254	1483242669	out	406
605	10198	1483242917	max	13
606	10198	1483242917	out	4
622	23534	1483243102	max	58
623	23534	1483243102	out	47
647	7111	1483243609	out	69
648	7111	1483243609	max	51
653	27935	1483243655	max	394
712	23534	1483244051	max	102
721	23534	1483244089	out	63
722	23534	1483244090	in	63
747	8660	1483244269	max	12
748	8660	1483244270	out	11
794	334	1483244534	max	433
795	334	1483244535	out	441
801	334	1483244612	center	304
802	334	1483244612	in	306
803	334	1483244612	jk	304
804	334	1483244612	jk3	304
805	334	1483244612	jk2	304
806	334	1483244613	sensor9	258
856	334	1483244871	sensor4	4
858	334	1483244877	fitting-room	12
859	334	1483244877	sensor11	12
861	334	1483244877	fitting2	12
863	334	1483244890	sensor11	26
939	47845	1483245368	max	614
941	47845	1483245373	out	601
944	17371	1483245389	max	1336
948	17371	1483245390	out	1335
1005	24254	1483245984	max	70
1039	10198	1483246249	max	34
1063	27935	1483246489	max	90
1100	38517	1483246878	max	5509
1101	38517	1483246879	out	5508
1102	38517	1483246879	sensor19	705
1103	38517	1483246879	jk3	5508
1104	38517	1483246879	indi-brand2	5508
1105	38517	1483246879	indi-brand	5508
1106	38517	1483246879	in	5508
1108	24184	1483246937	max	2734
1109	24184	1483246943	out	1133
1125	24184	1483247051	jk3	254
1126	24184	1483247051	sensor18	3
1127	24184	1483247051	indi-brand	253
1129	24184	1483247051	jk2	254
1130	24184	1483247051	in	289
1131	24184	1483247054	indi-brand2	250
1132	24184	1483247054	sensor19	64
1133	42924	1483247058	max	97
1134	42924	1483247059	out	96
1135	42924	1483247059	in	96
1137	42924	1483247090	center	65
1138	42924	1483247090	sensor16	2
1139	42924	1483247090	ghi	65
1142	42924	1483247092	sensor15	12
1149	42924	1483247105	sensor7	46
1150	42924	1483247105	ef	50
1153	24184	1483247119	sensor15	53
1154	24184	1483247119	center	186
1165	42924	1483247152	sensor15	3
1169	24184	1483247171	ent2	54
1170	24184	1483247172	out2	13
1175	24184	1483247186	sensor18	39
1183	24184	1483247225	jk	80
1184	24184	1483247226	sensor9	19
1191	24184	1483247245	sensor10	16
1192	24184	1483247262	sensor9	15
1193	24184	1483247277	sensor4	19
1196	24184	1483247297	sensor17	7
1203	44947	1483247419	max	3
1231	15382	1483247480	max	850
1232	15382	1483247480	out	849
1233	22232	1483247489	center	54
1234	22232	1483247489	ef	54
1235	22232	1483247489	out	177
1236	22232	1483247489	max	189
1237	22232	1483247489	in	145
1238	22232	1483247490	ghi	7
1239	22232	1483247490	sensor14	6
1244	22232	1483247496	bcd	19
1245	22232	1483247498	sensor14	5
1246	22232	1483247503	sensor6	4
1247	22232	1483247508	sensor5	8
1253	22232	1483247516	sensor6	28
1256	22232	1483247544	out2	7
1258	38517	1483247584	sensor17	786
1423	42909	1483248249	max	992
1443	42909	1483248321	out	878
1447	21701	1483248349	max	863
1456	38517	1483248371	sensor18	298
1499	21701	1483248481	out	681
1517	42909	1483248538	in	597
1521	42909	1483248547	indi-brand2	474
1522	42909	1483248547	indi-brand	474
1523	42909	1483248547	sensor19	4
1524	42909	1483248547	jk3	474
1525	42909	1483248552	sensor16	2
1526	42909	1483248552	ghi	575
1527	42909	1483248552	center	582
1533	42909	1483248555	ef	523
1535	42909	1483248557	sensor5	7
1536	42909	1483248557	bcd	577
1537	21701	1483248557	in	568
1538	21701	1483248557	sensor19	45
1539	42909	1483248560	ent	570
1542	42909	1483248565	out1	441
1550	21701	1483248603	sensor16	21
1551	21701	1483248603	ghi	21
1552	21701	1483248603	center	523
1554	21701	1483248624	sensor16	35
1562	21701	1483248659	bcd	466
1563	21701	1483248659	sensor5	32
1567	38517	1483248670	sensor17	312
1572	21701	1483248676	ent	108
1575	21701	1483248692	k-fashion	99
1576	21701	1483248692	sensor12	99
1603	21701	1483248792	sensor12	74
1613	21701	1483248866	sensor6	126
1620	14253	1483248916	max	18
1622	24184	1483248930	out	762
1623	24184	1483248932	center	10
1624	24184	1483248932	in	10
1625	24184	1483248933	out1	9
1631	38517	1483248983	sensor17	2498
1632	21701	1483248993	sensor6	49
1635	42909	1483249006	sensor10	5
1636	42909	1483249011	ent2	13
1637	42909	1483249011	sensor17	10
1638	42909	1483249021	sensor19	3
1639	42909	1483249027	sensor9	2
1640	42909	1483249031	sensor8	3
1641	42909	1483249034	sensor16	4
1642	42909	1483249038	sensor15	18
1643	21701	1483249042	ef	4
1644	21701	1483249042	sensor7	4
1647	21701	1483249047	sensor7	28
1648	42909	1483249057	sensor2	15
1650	42909	1483249073	sensor6	6
1651	21701	1483249075	sensor2	50
1653	42909	1483249079	sensor7	4
1655	42909	1483249083	sensor6	44
1657	42909	1483249128	sensor14	6
1659	15871	1483249139	max	2170
1692	7336	1483249332	max	1070
1695	15871	1483249337	out	1712
1698	7336	1483249426	in	702
1699	7336	1483249426	out	975
1708	44947	1483249519	out	190
1709	44947	1483249519	max	260
1842	32810	1483250057	max	953
1843	32810	1483250063	out	955
1850	32810	1483250086	in	847
1854	32810	1483250098	out2	10
1855	32810	1483250108	jk3	660
1856	32810	1483250108	indi-brand2	660
1857	32810	1483250108	indi-brand	660
1858	32810	1483250108	sensor19	5
1859	32810	1483250113	ghi	776
1860	32810	1483250113	center	781
1861	32810	1483250114	sensor7	2
1862	32810	1483250114	ef	746
1863	32810	1483250117	sensor15	5
1866	32810	1483250124	bcd	770
1867	32810	1483250124	sensor5	2
1868	32810	1483250126	ent	2
1869	32810	1483250126	sensor13	2
1871	32810	1483250129	sensor5	3
1872	32810	1483250132	out1	2
1873	32810	1483250135	sensor14	602
1877	48752	1483250184	max	284
1878	48752	1483250184	out	276
1886	10615	1483250225	max	83
1909	8586	1483250370	max	7
1917	38518	1483250414	max	66
1920	38518	1483250447	out	13
1927	23107	1483250526	max	65
1946	49365	1483250649	max	294
1948	27935	1483250674	max	2347
1955	49365	1483250679	out	244
1958	49365	1483250688	sensor17	18
1959	49365	1483250688	in	234
1960	49365	1483250688	ent2	53
1961	27935	1483250688	out	1647
1963	49365	1483250706	center	180
1964	49365	1483250706	bcd	180
1965	49365	1483250706	sensor5	10
1971	49365	1483250717	out2	14
1972	27935	1483250721	in	606
1973	27935	1483250723	sensor19	2
1974	27935	1483250723	jk3	12
1975	27935	1483250723	indi-brand2	8
1976	27935	1483250723	indi-brand	8
1977	27935	1483250725	out2	6
1979	49365	1483250731	ef	95
1980	49365	1483250731	sensor19	28
1981	49365	1483250731	jk3	66
1982	49365	1483250731	indi-brand2	66
1983	49365	1483250731	indi-brand	66
1984	27935	1483250731	sensor19	4
1986	27935	1483250736	sensor10	12
1987	27935	1483250736	center	574
1988	32810	1483250738	sensor17	12
1989	32810	1483250738	ent2	31
1993	27935	1483250748	sensor7	8
1994	27935	1483250748	ef	19
1995	32810	1483250750	sensor18	18
1998	27935	1483250756	sensor16	8
1999	27935	1483250756	ghi	554
2001	49365	1483250760	sensor9	2
2002	49365	1483250762	sensor10	2
2003	49365	1483250764	sensor9	10
2004	27935	1483250767	sensor7	5
2005	32810	1483250769	sensor17	40
2007	27935	1483250772	sensor15	3
2008	27935	1483250776	sensor14	4
2009	49365	1483250778	sensor2	15
2010	27935	1483250780	bcd	525
2011	27935	1483250781	sensor15	23
2013	49365	1483250794	sensor17	4
2014	49365	1483250798	sensor19	3
2015	49365	1483250802	out2	24
2017	27935	1483250805	sensor6	488
2019	32810	1483250810	sensor2	27
2025	49365	1483250826	sensor7	11
2027	32810	1483250837	sensor2	8
2028	49365	1483250838	out1	47
2029	32810	1483250846	sensor16	15
2030	32810	1483250861	sensor7	3
2031	32810	1483250866	sensor6	5
2037	32810	1483250872	sensor15	12
2038	32810	1483250879	ent	12
2042	32810	1483250885	sensor6	4
2043	32810	1483250890	sensor14	4
2044	32810	1483250895	sensor5	2
2045	32810	1483250897	out1	3
2047	32810	1483250901	out1	25
2097	30478	1483251202	max	11
2117	27935	1483251293	sensor6	12
2122	27935	1483251306	sensor5	4
2127	27935	1483251310	sensor14	9
2131	40329	1483251342	max	921
2137	40329	1483251362	out	880
2138	24184	1483251364	out	32
2139	24184	1483251364	max	32
2141	24184	1483251365	in	29
2164	38517	1483251482	out2	905
2202	33545	1483251581	out	614
2203	33545	1483251581	max	1001
2228	33545	1483251704	center	398
2229	33545	1483251704	in	438
2230	33545	1483251704	jk	67
2231	33545	1483251704	jk3	67
2232	33545	1483251704	jk2	67
2233	33545	1483251704	sensor4	67
2238	40329	1483251762	in	200
2239	40329	1483251762	ent2	100
2240	40329	1483251762	sensor19	40
2241	40329	1483251762	jk3	200
2242	40329	1483251762	indi-brand2	200
2243	40329	1483251762	indi-brand	200
2246	33545	1483251772	sensor10	58
2254	40329	1483251802	sensor18	60
2258	41157	1483251815	max	16
2262	33545	1483251831	sensor16	126
2263	33545	1483251831	ghi	271
2271	40329	1483251863	sensor17	19
2276	40329	1483251883	sensor9	19
2283	40329	1483251902	center	20
